                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63209,                 0.7113,                0.94514,                0.99724,                0.99487,                0.99462,                0.89488,                0.48201,                 0.2267,                0.86765,              0.0033319,              0.0033319,              0.0033319
                      2,                0.48466,                0.26123,                0.86669,                0.99322,                0.99133,                0.99428,                0.89477,                0.48532,                0.23302,                0.86862,              0.0066322,              0.0066322,              0.0066322
                      3,                0.48752,                0.26284,                0.86803,                0.99575,                0.99461,                0.99458,                0.89846,                0.47641,                0.21769,                0.86106,              0.0098996,              0.0098996,              0.0098996
                      4,                0.44678,                0.23171,                0.85119,                0.99649,                0.99656,                0.99477,                0.91483,                0.44504,                0.19201,                0.84963,              0.0098515,              0.0098515,              0.0098515
                      5,                0.40326,                0.20436,                0.83466,                0.99774,                0.99766,                0.99481,                0.92383,                0.43142,                0.17859,                0.84371,              0.0098515,              0.0098515,              0.0098515
                      6,                0.37008,                0.18589,                0.82276,                0.99847,                0.99836,                0.99492,                0.93852,                  0.385,                 0.1616,                0.82795,               0.009802,               0.009802,               0.009802
                      7,                0.34431,                0.17558,                0.81403,                0.99835,                0.99808,                0.99468,                0.93805,                0.39299,                 0.1612,                  0.831,              0.0097525,              0.0097525,              0.0097525
                      8,                0.32342,                0.16701,                0.80759,                0.99868,                0.99925,                0.99488,                0.94876,                0.35751,                0.14796,                 0.8174,               0.009703,               0.009703,               0.009703
                      9,                0.30616,                0.15907,                0.80248,                0.99845,                 0.9986,                0.99487,                0.94704,                0.36488,                0.14774,                0.82045,              0.0096535,              0.0096535,              0.0096535
                     10,                 0.2904,                0.15327,                0.79807,                 0.9987,                0.99906,                0.99492,                0.95241,                0.34494,                 0.1409,                 0.8139,               0.009604,               0.009604,               0.009604
                     11,                0.27782,                0.14822,                0.79462,                0.99873,                0.99915,                0.99496,                0.95446,                0.33951,                0.13756,                0.81206,              0.0095545,              0.0095545,              0.0095545
                     12,                0.26489,                0.14221,                0.79125,                0.99861,                0.99942,                0.99495,                0.95587,                0.33443,                0.13471,                0.81077,               0.009505,               0.009505,               0.009505
                     13,                0.25378,                0.13825,                0.78823,                0.99903,                0.99889,                0.99496,                0.95715,                0.33042,                0.13307,                 0.8094,              0.0094555,              0.0094555,              0.0094555
