                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67585,                0.78058,                0.94426,                0.99489,                 0.9942,                0.99463,                0.88814,                0.49508,                0.25861,                0.86124,              0.0033319,              0.0033319,              0.0033319
                      2,                0.50174,                0.28305,                0.86057,                0.99334,                0.99197,                0.99404,                0.88874,                0.49281,                0.25324,                0.85921,              0.0066322,              0.0066322,              0.0066322
                      3,                0.50188,                0.28215,                0.86258,                0.99568,                0.99511,                0.99474,                0.89825,                0.48105,                 0.2303,                0.85614,              0.0098996,              0.0098996,              0.0098996
                      4,                0.46256,                0.25009,                0.84863,                0.99595,                0.99699,                0.99476,                0.90604,                0.46326,                0.21207,                0.84906,              0.0098515,              0.0098515,              0.0098515
                      5,                0.42188,                0.22368,                0.83365,                0.99691,                0.99762,                0.99486,                0.91704,                 0.4397,                0.19569,                 0.8389,              0.0098515,              0.0098515,              0.0098515
                      6,                0.39292,                 0.2078,                 0.8236,                0.99757,                  0.998,                0.99486,                0.92389,                 0.4203,                0.18554,                0.83254,               0.009802,               0.009802,               0.009802
                      7,                0.37154,                 0.1977,                0.81683,                0.99823,                0.99869,                0.99492,                0.93074,                0.40091,                0.17622,                0.82532,              0.0097525,              0.0097525,              0.0097525
                      8,                0.35127,                0.18822,                0.81099,                0.99809,                0.99866,                0.99494,                0.93463,                0.39329,                0.17107,                0.82343,               0.009703,               0.009703,               0.009703
                      9,                0.33563,                0.17975,                0.80653,                0.99795,                0.99838,                0.99493,                0.93735,                0.38538,                0.16756,                0.82081,              0.0096535,              0.0096535,              0.0096535
                     10,                0.32069,                0.17373,                 0.8024,                0.99823,                0.99881,                0.99498,                0.93822,                0.38593,                0.16446,                0.82045,               0.009604,               0.009604,               0.009604
                     11,                 0.3075,                 0.1679,                 0.7988,                0.99843,                0.99887,                0.99493,                0.93915,                0.38278,                0.16076,                0.81941,              0.0095545,              0.0095545,              0.0095545
                     12,                0.29611,                 0.1634,                0.79597,                0.99852,                0.99899,                0.99494,                0.94217,                0.37506,                0.15742,                0.81706,               0.009505,               0.009505,               0.009505
                     13,                0.28547,                0.15893,                0.79324,                0.99843,                0.99918,                0.99495,                0.94258,                0.37234,                0.15609,                0.81579,              0.0094555,              0.0094555,              0.0094555
                     14,                0.27551,                0.15508,                0.79092,                0.99842,                0.99906,                0.99494,                0.94252,                 0.3746,                0.15529,                0.81611,               0.009406,               0.009406,               0.009406
                     15,                0.26675,                0.15077,                  0.789,                0.99845,                0.99908,                0.99496,                0.94509,                0.36549,                0.15289,                  0.814,              0.0093565,              0.0093565,              0.0093565
                     16,                0.26098,                0.14886,                0.78762,                0.99827,                0.99921,                0.99497,                0.94532,                0.36429,                0.15161,                0.81351,               0.009307,               0.009307,               0.009307
                     17,                0.25478,                0.14684,                0.78613,                0.99855,                0.99919,                0.99497,                0.94563,                0.36414,                0.15126,                0.81345,              0.0092575,              0.0092575,              0.0092575
                     18,                0.24927,                0.14426,                0.78488,                0.99857,                0.99914,                0.99497,                0.94529,                0.36645,                0.15129,                0.81418,               0.009208,               0.009208,               0.009208
                     19,                0.24462,                0.14238,                 0.7838,                0.99865,                0.99919,                0.99497,                0.94559,                0.36688,                0.15112,                0.81438,              0.0091585,              0.0091585,              0.0091585
                     20,                0.23923,                0.13996,                0.78263,                0.99871,                0.99926,                0.99497,                0.94596,                0.36663,                0.15062,                 0.8144,               0.009109,               0.009109,               0.009109
                     21,                0.23474,                0.13929,                0.78159,                0.99867,                0.99919,                0.99497,                0.94591,                0.36659,                 0.1505,                0.81448,              0.0090595,              0.0090595,              0.0090595
                     22,                0.23037,                0.13685,                0.78075,                0.99864,                0.99919,                0.99497,                0.94604,                0.36631,                0.15001,                 0.8145,                0.00901,                0.00901,                0.00901
