                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87571,                 2.1932,                0.97457,                0.95241,                0.93007,                0.97852,                0.80091,                0.69675,                0.64273,                0.90011,              0.0033273,              0.0033273,              0.0033273
                      2,                0.67611,                0.54298,                0.88267,                0.96729,                0.96104,                0.98796,                0.82473,                0.65451,                0.48785,                0.87734,              0.0066277,              0.0066277,              0.0066277
                      3,                0.62907,                0.46756,                0.86675,                0.97676,                0.96944,                0.99112,                0.80414,                0.72525,                0.45896,                0.90224,              0.0098951,              0.0098951,              0.0098951
                      4,                0.57288,                0.39989,                0.85036,                0.98691,                0.98412,                0.99285,                0.84753,                0.61044,                0.36247,                 0.8625,              0.0098515,              0.0098515,              0.0098515
                      5,                0.51968,                0.33786,                0.83559,                0.98983,                0.98936,                 0.9941,                0.85586,                0.59415,                0.32849,                0.85425,              0.0098515,              0.0098515,              0.0098515
                      6,                0.48956,                0.29991,                 0.8273,                0.99278,                0.99162,                0.99425,                0.85644,                0.59713,                0.30295,                0.85656,               0.009802,               0.009802,               0.009802
                      7,                0.46855,                0.27698,                0.82205,                0.99275,                0.99187,                0.99443,                0.85928,                0.58934,                0.29094,                0.85368,              0.0097525,              0.0097525,              0.0097525
                      8,                0.45173,                0.26208,                0.81767,                0.99048,                0.99004,                0.99435,                0.86737,                0.57141,                0.28312,                0.84831,               0.009703,               0.009703,               0.009703
                      9,                0.43911,                0.25135,                0.81465,                0.99377,                0.99414,                0.99461,                0.87233,                0.55541,                0.26614,                0.84419,              0.0096535,              0.0096535,              0.0096535
                     10,                0.42768,                 0.2428,                0.81244,                0.99178,                0.99369,                0.99458,                0.87035,                0.56444,                0.26892,                0.84649,               0.009604,               0.009604,               0.009604
                     11,                0.41812,                0.23618,                0.81042,                0.99341,                0.99366,                0.99456,                0.87087,                0.56354,                 0.2629,                 0.8467,              0.0095545,              0.0095545,              0.0095545
                     12,                0.41114,                 0.2316,                0.80901,                 0.9931,                0.99462,                0.99469,                0.87953,                0.53668,                0.25197,                0.84082,               0.009505,               0.009505,               0.009505
                     13,                0.40244,                0.22531,                0.80692,                 0.9927,                0.99481,                0.99462,                 0.8793,                0.53589,                0.24909,                0.84011,              0.0094555,              0.0094555,              0.0094555
