                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75941,                 1.0289,                0.97785,                0.98911,                0.98539,                0.99388,                0.85489,                0.57924,                0.35024,                0.88822,              0.0033311,              0.0033311,              0.0033311
                      2,                0.55287,                0.33733,                0.87667,                0.99066,                0.98791,                0.99396,                0.86944,                0.54731,                0.30857,                0.87532,              0.0066314,              0.0066314,              0.0066314
                      3,                0.51401,                 0.2976,                0.86324,                0.99398,                 0.9914,                0.99465,                0.87782,                0.52703,                0.27298,                0.86948,              0.0098988,              0.0098988,              0.0098988
                      4,                 0.4896,                0.27632,                0.85577,                 0.9946,                0.99408,                0.99449,                0.88779,                0.50815,                0.24486,                0.86422,              0.0098515,              0.0098515,              0.0098515
                      5,                0.44931,                0.24624,                0.84163,                0.99604,                 0.9956,                0.99487,                 0.9002,                0.47737,                0.22173,                0.85259,              0.0098515,              0.0098515,              0.0098515
                      6,                0.42379,                 0.2282,                0.83288,                0.99634,                0.99719,                 0.9949,                0.90548,                0.46374,                0.20967,                0.84654,               0.009802,               0.009802,               0.009802
                      7,                0.40284,                 0.2163,                0.82617,                0.99718,                0.99698,                 0.9948,                0.91039,                0.45397,                0.20241,                0.84373,              0.0097525,              0.0097525,              0.0097525
                      8,                0.38597,                0.20757,                 0.8209,                 0.9968,                0.99794,                0.99487,                 0.9091,                0.46088,                0.19828,                0.84483,               0.009703,               0.009703,               0.009703
                      9,                0.37231,                0.19942,                0.81706,                 0.9967,                0.99766,                0.99492,                0.91446,                0.44548,                0.19148,                0.84073,              0.0096535,              0.0096535,              0.0096535
                     10,                0.35989,                0.19342,                0.81333,                0.99744,                0.99757,                0.99491,                0.91596,                0.44382,                0.18717,                0.84065,               0.009604,               0.009604,               0.009604
                     11,                0.34884,                0.18903,                0.81026,                0.99738,                0.99815,                0.99491,                0.91914,                0.43542,                0.18311,                0.83715,              0.0095545,              0.0095545,              0.0095545
                     12,                0.33902,                 0.1836,                0.80754,                0.99666,                0.99789,                 0.9949,                0.91945,                0.43168,                0.18142,                0.83651,               0.009505,               0.009505,               0.009505
                     13,                0.32997,                0.18036,                0.80508,                0.99643,                0.99821,                 0.9949,                0.91944,                0.43261,                0.17991,                0.83669,              0.0094555,              0.0094555,              0.0094555
                     14,                0.32031,                0.17543,                0.80247,                0.99674,                0.99835,                0.99493,                0.92047,                0.43151,                0.17766,                 0.8364,               0.009406,               0.009406,               0.009406
                     15,                0.31278,                 0.1728,                0.80045,                0.99659,                0.99846,                 0.9949,                0.92093,                0.43104,                0.17593,                 0.8364,              0.0093565,              0.0093565,              0.0093565
                     16,                0.30646,                0.16942,                0.79887,                0.99634,                0.99848,                0.99493,                0.92107,                0.43077,                 0.1754,                0.83667,               0.009307,               0.009307,               0.009307
                     17,                0.29912,                0.16682,                0.79699,                0.99615,                0.99847,                0.99492,                0.92148,                0.42969,                0.17469,                0.83677,              0.0092575,              0.0092575,              0.0092575
                     18,                0.29476,                0.16483,                0.79602,                0.99659,                0.99836,                0.99491,                0.92226,                0.42863,                0.17363,                0.83622,               0.009208,               0.009208,               0.009208
                     19,                0.29041,                0.16312,                 0.7948,                0.99636,                0.99833,                 0.9949,                0.92206,                0.42924,                0.17327,                0.83643,              0.0091585,              0.0091585,              0.0091585
                     20,                0.28581,                0.16091,                0.79362,                0.99619,                0.99838,                0.99489,                0.92157,                0.43075,                0.17305,                0.83691,               0.009109,               0.009109,               0.009109
                     21,                0.28168,                0.15997,                0.79271,                0.99572,                0.99848,                 0.9949,                 0.9208,                0.43273,                 0.1733,                0.83774,              0.0090595,              0.0090595,              0.0090595
                     22,                0.27723,                0.15773,                0.79166,                0.99563,                0.99863,                 0.9949,                0.92043,                0.43356,                0.17308,                0.83813,                0.00901,                0.00901,                0.00901
                     23,                0.27434,                0.15659,                0.79113,                0.99545,                 0.9987,                 0.9949,                0.92037,                0.43391,                0.17289,                0.83833,              0.0089605,              0.0089605,              0.0089605
                     24,                0.27042,                0.15546,                0.79009,                0.99532,                0.99827,                 0.9949,                0.92078,                0.43365,                0.17276,                0.83842,               0.008911,               0.008911,               0.008911
                     25,                0.26801,                0.15392,                0.78937,                0.99558,                0.99825,                 0.9949,                0.92104,                0.43302,                0.17236,                0.83828,              0.0088615,              0.0088615,              0.0088615
                     26,                0.26532,                0.15297,                0.78871,                 0.9951,                0.99833,                 0.9949,                0.92088,                0.43346,                0.17252,                0.83849,               0.008812,               0.008812,               0.008812
                     27,                0.26105,                0.15138,                0.78786,                0.99473,                0.99828,                0.99491,                0.92092,                0.43392,                 0.1727,                0.83871,              0.0087625,              0.0087625,              0.0087625
                     28,                0.25893,                0.15042,                0.78734,                0.99451,                0.99828,                0.99491,                0.92099,                0.43443,                0.17282,                 0.8389,               0.008713,               0.008713,               0.008713
