                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74635,                0.91131,                0.93592,                0.99808,                0.99839,                0.99496,                0.87076,                 0.5612,                0.23973,                0.86214,               0.003332,               0.003332,               0.003332
                      2,                0.60341,                0.41679,                0.87779,                  0.998,                0.99839,                0.99498,                0.88046,                0.53863,                0.22341,                0.85816,              0.0066324,              0.0066324,              0.0066324
                      3,                0.59584,                0.40316,                0.87657,                0.99921,                0.99906,                0.99499,                0.88851,                 0.5199,                0.20722,                0.84916,              0.0098997,              0.0098997,              0.0098997
                      4,                0.55838,                0.36971,                0.86525,                0.99936,                0.99925,                0.99498,                0.90008,                0.49238,                0.18961,                0.83963,              0.0098515,              0.0098515,              0.0098515
                      5,                0.51881,                0.33727,                0.85404,                0.99952,                 0.9995,                0.99499,                0.90846,                0.46845,                0.17888,                0.83231,              0.0098515,              0.0098515,              0.0098515
                      6,                0.49424,                0.31763,                0.84751,                0.99965,                0.99974,                0.99499,                 0.9132,                0.45472,                0.17008,                0.82793,               0.009802,               0.009802,               0.009802
                      7,                0.47599,                0.30459,                0.84243,                0.99971,                0.99971,                  0.995,                0.91841,                0.43968,                0.16498,                0.82345,              0.0097525,              0.0097525,              0.0097525
                      8,                0.46197,                0.29464,                0.83885,                0.99974,                0.99976,                  0.995,                0.92227,                0.42963,                0.15919,                0.82064,               0.009703,               0.009703,               0.009703
                      9,                0.44833,                0.28519,                 0.8354,                0.99975,                0.99983,                  0.995,                0.92782,                0.41423,                0.15422,                0.81644,              0.0096535,              0.0096535,              0.0096535
                     10,                0.43803,                0.27833,                0.83313,                0.99965,                 0.9998,                  0.995,                0.93044,                0.40505,                0.15118,                0.81398,               0.009604,               0.009604,               0.009604
                     11,                0.42867,                0.27268,                0.83105,                0.99978,                0.99987,                  0.995,                0.93309,                0.39641,                0.14809,                0.81162,              0.0095545,              0.0095545,              0.0095545
                     12,                0.41988,                0.26641,                0.82899,                0.99976,                0.99984,                  0.995,                0.93484,                0.39112,                0.14578,                0.81029,               0.009505,               0.009505,               0.009505
                     13,                0.41252,                0.26275,                0.82788,                 0.9998,                0.99984,                  0.995,                0.93636,                0.38666,                0.14346,                0.80921,              0.0094555,              0.0094555,              0.0094555
                     14,                0.40502,                0.25899,                0.82598,                0.99978,                0.99984,                  0.995,                0.93754,                0.38236,                0.14189,                0.80811,               0.009406,               0.009406,               0.009406
                     15,                0.39758,                 0.2541,                0.82413,                0.99976,                0.99991,                  0.995,                0.93874,                0.37798,                0.14047,                0.80709,              0.0093565,              0.0093565,              0.0093565
                     16,                0.39278,                0.25181,                0.82278,                0.99979,                0.99992,                  0.995,                 0.9402,                0.37428,                0.13928,                0.80621,               0.009307,               0.009307,               0.009307
                     17,                 0.3879,                0.24854,                0.82225,                0.99979,                0.99995,                  0.995,                0.94114,                0.37178,                0.13844,                0.80568,              0.0092575,              0.0092575,              0.0092575
                     18,                0.38219,                0.24484,                0.82068,                0.99982,                0.99995,                  0.995,                0.94188,                0.36941,                0.13752,                0.80513,               0.009208,               0.009208,               0.009208
                     19,                 0.3784,                0.24407,                0.82029,                0.99983,                0.99994,                  0.995,                0.94207,                0.36758,                0.13677,                0.80471,              0.0091585,              0.0091585,              0.0091585
                     20,                0.37452,                0.24188,                0.81956,                0.99983,                0.99994,                  0.995,                0.94268,                0.36589,                0.13613,                0.80433,               0.009109,               0.009109,               0.009109
                     21,                0.36968,                0.23977,                0.81865,                0.99982,                0.99993,                  0.995,                0.94299,                0.36476,                0.13574,                0.80409,              0.0090595,              0.0090595,              0.0090595
                     22,                0.36712,                0.23718,                0.81766,                0.99981,                0.99993,                  0.995,                0.94325,                0.36351,                0.13519,                0.80383,                0.00901,                0.00901,                0.00901
                     23,                0.36384,                 0.2356,                0.81687,                0.99983,                0.99993,                  0.995,                0.94379,                0.36205,                0.13469,                0.80352,              0.0089605,              0.0089605,              0.0089605
                     24,                0.36144,                0.23386,                0.81667,                0.99983,                0.99994,                  0.995,                 0.9441,                0.36077,                0.13411,                0.80324,               0.008911,               0.008911,               0.008911
                     25,                0.35844,                0.23303,                0.81657,                0.99982,                0.99994,                  0.995,                0.94439,                0.35971,                0.13361,                  0.803,              0.0088615,              0.0088615,              0.0088615
                     26,                0.35533,                0.23153,                0.81597,                0.99983,                0.99994,                  0.995,                0.94471,                0.35879,                0.13334,                0.80278,               0.008812,               0.008812,               0.008812
                     27,                0.35237,                0.22963,                0.81543,                0.99983,                0.99994,                  0.995,                0.94491,                0.35772,                0.13308,                0.80256,              0.0087625,              0.0087625,              0.0087625
                     28,                0.35044,                0.22934,                0.81508,                0.99982,                0.99994,                  0.995,                0.94535,                0.35625,                0.13261,                0.80224,               0.008713,               0.008713,               0.008713
                     29,                0.34762,                0.22742,                0.81425,                0.99982,                0.99994,                  0.995,                0.94583,                0.35491,                0.13216,                0.80194,              0.0086635,              0.0086635,              0.0086635
                     30,                0.34501,                 0.2258,                0.81399,                0.99981,                0.99993,                  0.995,                0.94602,                0.35379,                0.13169,                0.80173,               0.008614,               0.008614,               0.008614
                     31,                0.34304,                0.22462,                0.81304,                 0.9998,                0.99993,                  0.995,                0.94641,                0.35256,                 0.1313,                0.80152,              0.0085645,              0.0085645,              0.0085645
                     32,                0.34127,                0.22393,                0.81305,                 0.9998,                0.99993,                  0.995,                 0.9467,                0.35116,                0.13082,                0.80125,               0.008515,               0.008515,               0.008515
                     33,                 0.3388,                0.22345,                0.81244,                 0.9998,                0.99994,                  0.995,                0.94707,                0.34972,                0.13045,                0.80094,              0.0084655,              0.0084655,              0.0084655
                     34,                0.33679,                0.22221,                0.81226,                0.99979,                0.99994,                  0.995,                0.94756,                0.34803,                0.12981,                0.80061,               0.008416,               0.008416,               0.008416
                     35,                0.33536,                 0.2205,                0.81236,                 0.9998,                0.99994,                  0.995,                0.94797,                0.34663,                0.12937,                0.80033,              0.0083665,              0.0083665,              0.0083665
                     36,                0.33422,                0.22091,                 0.8119,                0.99979,                0.99994,                  0.995,                0.94833,                0.34519,                0.12884,                0.80007,               0.008317,               0.008317,               0.008317
                     37,                0.33183,                0.21963,                0.81128,                0.99979,                0.99994,                  0.995,                0.94866,                0.34401,                0.12844,                0.79987,              0.0082675,              0.0082675,              0.0082675
                     38,                0.32921,                0.21782,                0.81081,                0.99979,                0.99994,                  0.995,                0.94903,                0.34267,                0.12802,                0.79967,               0.008218,               0.008218,               0.008218
                     39,                0.32937,                0.21798,                0.81107,                 0.9998,                0.99994,                  0.995,                0.94936,                0.34117,                0.12754,                 0.7994,              0.0081685,              0.0081685,              0.0081685
                     40,                0.32707,                0.21677,                0.81033,                 0.9998,                0.99994,                  0.995,                0.94962,                0.34011,                0.12723,                0.79921,               0.008119,               0.008119,               0.008119
                     41,                0.32617,                0.21707,                0.81047,                0.99981,                0.99994,                  0.995,                0.95004,                0.33913,                0.12695,                0.79902,              0.0080695,              0.0080695,              0.0080695
                     42,                0.32504,                0.21579,                0.81027,                 0.9998,                0.99994,                  0.995,                 0.9504,                0.33811,                0.12657,                0.79883,                0.00802,                0.00802,                0.00802
                     43,                0.32363,                0.21554,                0.81006,                 0.9998,                0.99994,                  0.995,                0.95074,                0.33698,                0.12613,                0.79866,              0.0079705,              0.0079705,              0.0079705
                     44,                0.32251,                0.21484,                0.80999,                 0.9998,                0.99995,                  0.995,                0.95122,                0.33577,                0.12595,                0.79848,               0.007921,               0.007921,               0.007921
                     45,                0.32043,                0.21325,                0.80876,                 0.9998,                0.99995,                  0.995,                0.95128,                0.33495,                0.12584,                0.79836,              0.0078715,              0.0078715,              0.0078715
                     46,                0.31927,                0.21295,                0.80908,                0.99981,                0.99995,                  0.995,                0.95155,                0.33418,                0.12547,                 0.7982,               0.007822,               0.007822,               0.007822
                     47,                0.31823,                0.21208,                 0.8092,                0.99981,                0.99995,                  0.995,                0.95178,                0.33327,                0.12518,                0.79804,              0.0077725,              0.0077725,              0.0077725
                     48,                0.31597,                0.21072,                0.80859,                 0.9998,                0.99995,                  0.995,                0.95191,                0.33236,                0.12479,                0.79788,               0.007723,               0.007723,               0.007723
                     49,                0.31467,                0.21032,                0.80805,                0.99981,                0.99995,                  0.995,                0.95225,                0.33141,                0.12449,                0.79769,              0.0076735,              0.0076735,              0.0076735
                     50,                0.31331,                0.21022,                0.80816,                0.99981,                0.99995,                  0.995,                0.95235,                0.33083,                 0.1243,                 0.7976,               0.007624,               0.007624,               0.007624
                     51,                0.31257,                0.20881,                0.80769,                 0.9998,                0.99995,                  0.995,                0.95277,                0.32959,                0.12393,                0.79737,              0.0075745,              0.0075745,              0.0075745
                     52,                0.31157,                0.20908,                0.80791,                0.99982,                0.99997,                  0.995,                0.95284,                0.32879,                 0.1238,                0.79721,               0.007525,               0.007525,               0.007525
                     53,                0.31015,                0.20785,                0.80731,                0.99983,                0.99997,                  0.995,                0.95299,                  0.328,                 0.1236,                0.79708,              0.0074755,              0.0074755,              0.0074755
                     54,                0.30958,                0.20686,                 0.8074,                0.99983,                0.99997,                  0.995,                 0.9533,                0.32711,                0.12324,                0.79694,               0.007426,               0.007426,               0.007426
                     55,                 0.3083,                0.20702,                0.80732,                0.99982,                0.99997,                  0.995,                0.95361,                0.32629,                  0.123,                 0.7968,              0.0073765,              0.0073765,              0.0073765
                     56,                0.30731,                0.20587,                0.80692,                0.99982,                0.99997,                  0.995,                0.95392,                0.32553,                0.12254,                0.79669,               0.007327,               0.007327,               0.007327
                     57,                0.30623,                0.20609,                0.80675,                0.99982,                0.99997,                  0.995,                0.95406,                0.32471,                 0.1223,                0.79653,              0.0072775,              0.0072775,              0.0072775
                     58,                0.30575,                0.20483,                0.80677,                0.99983,                0.99997,                  0.995,                0.95422,                0.32389,                0.12215,                0.79638,               0.007228,               0.007228,               0.007228
                     59,                0.30413,                0.20555,                0.80671,                0.99983,                0.99997,                  0.995,                0.95453,                0.32329,                  0.122,                0.79625,              0.0071785,              0.0071785,              0.0071785
                     60,                0.30286,                 0.2048,                0.80598,                0.99984,                0.99997,                  0.995,                0.95468,                0.32244,                0.12182,                0.79614,               0.007129,               0.007129,               0.007129
                     61,                0.30307,                0.20408,                0.80617,                0.99984,                0.99997,                  0.995,                0.95502,                0.32168,                0.12152,                0.79599,              0.0070795,              0.0070795,              0.0070795
                     62,                0.29988,                  0.203,                0.80568,                0.99984,                0.99997,                  0.995,                0.95499,                0.32094,                0.12112,                 0.7959,                0.00703,                0.00703,                0.00703
                     63,                0.30046,                0.20224,                0.80617,                0.99984,                0.99997,                  0.995,                0.95512,                0.32021,                0.12079,                0.79577,              0.0069805,              0.0069805,              0.0069805
                     64,                0.29893,                0.20228,                0.80588,                0.99984,                0.99997,                  0.995,                0.95533,                0.31948,                0.12057,                0.79567,               0.006931,               0.006931,               0.006931
                     65,                0.29845,                 0.2019,                0.80567,                0.99984,                0.99997,                  0.995,                0.95551,                0.31866,                0.12045,                0.79554,              0.0068815,              0.0068815,              0.0068815
                     66,                0.29802,                0.20166,                0.80553,                0.99985,                0.99997,                  0.995,                0.95571,                0.31798,                0.12038,                0.79541,               0.006832,               0.006832,               0.006832
