                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.61808,                0.79264,                0.86726,                0.99849,                0.99811,                0.99492,                0.89681,                0.46652,                0.23345,                0.81468,                0.07001,              0.0033322,              0.0033322
                      1,                0.55313,                0.38571,                0.84138,                0.99913,                0.99909,                0.99498,                0.91201,                0.43676,                0.20497,                 0.8083,               0.039878,              0.0065336,              0.0065336
                      2,                0.53941,                0.36277,                0.83668,                 0.9992,                0.99909,                0.99499,                0.91963,                0.41818,                0.19523,                0.80308,              0.0096141,              0.0096029,              0.0096029
                      3,                0.50299,                0.33417,                0.82919,                0.99943,                 0.9994,                0.99499,                0.93435,                0.38257,                0.17239,                 0.7948,               0.009406,               0.009406,               0.009406
                      4,                0.46048,                0.30028,                0.82032,                 0.9995,                0.99943,                  0.995,                0.94639,                0.35309,                0.15851,                0.78901,               0.009406,               0.009406,               0.009406
                      5,                0.42994,                0.27868,                0.81615,                0.99958,                 0.9996,                  0.995,                0.95482,                0.32977,                0.14785,                0.78511,               0.009208,               0.009208,               0.009208
                      6,                0.40311,                0.26123,                0.81092,                0.99969,                0.99957,                  0.995,                0.96327,                0.30549,                0.13872,                0.78118,                0.00901,                0.00901,                0.00901
                      7,                0.38093,                0.24845,                0.80763,                 0.9997,                0.99968,                  0.995,                0.96962,                0.28594,                0.13067,                0.77829,               0.008812,               0.008812,               0.008812
                      8,                0.36002,                0.23514,                0.80442,                0.99967,                0.99978,                  0.995,                0.97442,                0.26849,                0.12443,                0.77616,               0.008614,               0.008614,               0.008614
                      9,                0.34266,                0.22663,                0.80207,                0.99966,                0.99982,                  0.995,                0.97823,                0.25338,                0.11884,                0.77411,               0.008416,               0.008416,               0.008416
                     10,                0.32728,                0.21815,                0.80015,                0.99971,                0.99974,                  0.995,                0.98069,                0.24318,                0.11406,                0.77306,               0.008218,               0.008218,               0.008218
                     11,                0.31645,                 0.2124,                 0.7988,                0.99972,                0.99967,                  0.995,                0.98297,                0.23394,                0.11088,                0.77174,                0.00802,                0.00802,                0.00802
                     12,                0.30542,                 0.2061,                0.79717,                0.99975,                0.99986,                  0.995,                0.98485,                0.22561,                0.10738,                 0.7708,               0.007822,               0.007822,               0.007822
                     13,                 0.2949,                0.19955,                0.79602,                0.99974,                0.99982,                  0.995,                0.98631,                0.21881,                0.10449,                0.76994,               0.007624,               0.007624,               0.007624
                     14,                0.28678,                0.19568,                0.79484,                 0.9997,                0.99977,                  0.995,                0.98682,                0.21414,                0.10225,                0.76946,               0.007426,               0.007426,               0.007426
                     15,                0.28091,                0.19238,                0.79435,                0.99973,                0.99976,                  0.995,                0.98764,                0.21064,                 0.1009,                0.76912,               0.007228,               0.007228,               0.007228
                     16,                0.27312,                0.18728,                0.79339,                0.99975,                0.99977,                  0.995,                0.98819,                 0.2066,                0.09914,                0.76861,                0.00703,                0.00703,                0.00703
                     17,                0.26834,                0.18528,                 0.7926,                0.99975,                0.99981,                  0.995,                0.98859,                0.20357,                0.09811,                0.76825,               0.006832,               0.006832,               0.006832
                     18,                0.26132,                0.18039,                0.79193,                0.99979,                 0.9998,                  0.995,                0.98883,                0.20149,                0.09703,                0.76805,               0.006634,               0.006634,               0.006634
                     19,                0.25719,                 0.1779,                 0.7921,                 0.9998,                0.99981,                  0.995,                0.98905,                0.19976,                0.09606,                0.76788,               0.006436,               0.006436,               0.006436
                     20,                0.25252,                0.17531,                0.79133,                0.99978,                0.99985,                  0.995,                0.98931,                0.19821,                0.09541,                0.76773,               0.006238,               0.006238,               0.006238
                     21,                0.24869,                0.17349,                0.79128,                0.99978,                0.99988,                  0.995,                0.98944,                0.19704,                0.09456,                0.76763,                0.00604,                0.00604,                0.00604
