                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65105,                0.81149,                0.91838,                0.99813,                0.99777,                0.99491,                 0.8935,                0.48696,                0.23536,                0.85261,              0.0033322,              0.0033322,              0.0033322
                      2,                0.56363,                0.38474,                0.88044,                0.99786,                0.99867,                 0.9949,                 0.9075,                0.45433,                0.21179,                0.84758,              0.0065336,              0.0065336,              0.0065336
                      3,                0.55273,                0.36575,                0.88133,                0.99857,                0.99876,                0.99495,                 0.9149,                0.43916,                0.19859,                 0.8447,              0.0096029,              0.0096029,              0.0096029
                      4,                0.52662,                0.34106,                0.87312,                0.99907,                0.99947,                0.99497,                0.92737,                0.40823,                0.17828,                0.83275,               0.009406,               0.009406,               0.009406
                      5,                0.48974,                0.30969,                0.86019,                0.99935,                 0.9992,                0.99493,                0.93688,                0.38562,                0.16594,                0.82537,               0.009406,               0.009406,               0.009406
                      6,                0.46404,                0.28875,                0.85174,                0.99938,                0.99963,                0.99497,                0.94507,                0.36382,                0.15655,                 0.8182,               0.009208,               0.009208,               0.009208
                      7,                0.44284,                0.27433,                0.84586,                 0.9992,                0.99965,                0.99499,                0.95166,                0.34567,                 0.1489,                0.81257,                0.00901,                0.00901,                0.00901
                      8,                0.42597,                  0.264,                 0.8415,                 0.9995,                0.99964,                0.99499,                0.95742,                0.32805,                 0.1424,                0.80769,               0.008812,               0.008812,               0.008812
                      9,                0.41087,                0.25395,                0.83708,                0.99951,                0.99979,                0.99498,                0.96243,                 0.3147,                0.13535,                0.80374,               0.008614,               0.008614,               0.008614
                     10,                0.39719,                0.24606,                0.83294,                0.99952,                 0.9998,                0.99498,                0.96631,                0.30105,                0.13038,                0.80013,               0.008416,               0.008416,               0.008416
                     11,                0.38684,                0.24005,                0.83074,                0.99958,                0.99985,                0.99498,                0.96848,                0.29229,                0.12695,                0.79784,               0.008218,               0.008218,               0.008218
                     12,                0.37719,                 0.2336,                0.82794,                0.99948,                0.99976,                0.99499,                0.97128,                0.28211,                0.12261,                0.79527,                0.00802,                0.00802,                0.00802
                     13,                0.36739,                0.22823,                0.82577,                0.99962,                0.99982,                0.99499,                0.97283,                0.27671,                0.12041,                0.79388,               0.007822,               0.007822,               0.007822
                     14,                 0.3581,                0.22364,                0.82362,                0.99961,                0.99988,                0.99499,                0.97494,                0.26932,                0.11775,                0.79216,               0.007624,               0.007624,               0.007624
                     15,                 0.3514,                0.21908,                0.82229,                 0.9996,                0.99987,                0.99499,                0.97638,                  0.264,                0.11506,                0.79091,               0.007426,               0.007426,               0.007426
                     16,                 0.3451,                0.21487,                0.82059,                0.99961,                0.99989,                0.99499,                0.97761,                0.25964,                0.11333,                0.78989,               0.007228,               0.007228,               0.007228
                     17,                0.33889,                 0.2128,                0.81896,                0.99961,                0.99986,                0.99499,                0.97847,                0.25594,                0.11227,                0.78901,                0.00703,                0.00703,                0.00703
                     18,                0.33277,                0.20938,                0.81799,                0.99963,                0.99985,                0.99499,                 0.9794,                0.25223,                0.11099,                 0.7882,               0.006832,               0.006832,               0.006832
                     19,                0.32634,                0.20554,                0.81642,                0.99962,                0.99985,                0.99499,                0.97991,                0.24929,                0.10986,                0.78755,               0.006634,               0.006634,               0.006634
                     20,                0.32227,                0.20259,                0.81556,                0.99961,                0.99986,                0.99499,                0.98062,                0.24674,                 0.1088,                0.78693,               0.006436,               0.006436,               0.006436
                     21,                0.31716,                0.19985,                0.81408,                0.99962,                0.99985,                0.99499,                0.98098,                0.24471,                0.10794,                0.78648,               0.006238,               0.006238,               0.006238
                     22,                0.31336,                0.19759,                0.81319,                0.99962,                0.99984,                0.99499,                0.98142,                 0.2433,                0.10721,                0.78615,                0.00604,                0.00604,                0.00604
                     23,                0.31077,                0.19507,                0.81303,                0.99962,                0.99983,                0.99499,                0.98168,                0.24213,                0.10674,                0.78587,               0.005842,               0.005842,               0.005842
                     24,                0.30417,                0.19162,                0.81102,                0.99962,                0.99983,                0.99499,                0.98194,                0.24087,                0.10624,                0.78559,               0.005644,               0.005644,               0.005644
                     25,                0.30171,                0.19002,                0.81116,                0.99963,                0.99983,                0.99499,                0.98205,                0.23966,                0.10557,                0.78533,               0.005446,               0.005446,               0.005446
