                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6676,                0.79259,                0.92851,                0.99797,                0.99867,                0.99498,                0.88801,                0.50885,                 0.2345,                0.86067,              0.0033324,              0.0033324,              0.0033324
                      2,                 0.5645,                0.38206,                0.88403,                0.99768,                0.99867,                0.99492,                0.90745,                0.45532,                0.20714,                0.85563,              0.0065832,              0.0065832,              0.0065832
                      3,                0.54866,                0.36198,                0.88373,                0.99937,                0.99923,                0.99499,                0.91564,                0.43272,                0.19029,                0.84599,              0.0097516,              0.0097516,              0.0097516
                      4,                0.52165,                0.33632,                0.87496,                0.99938,                0.99948,                  0.995,                0.92615,                0.40729,                0.17315,                0.83544,              0.0096288,              0.0096288,              0.0096288
                      5,                0.48632,                0.30601,                0.86239,                 0.9997,                0.99968,                  0.995,                0.93919,                0.37682,                0.15936,                0.82478,              0.0096288,              0.0096288,              0.0096288
                      6,                0.46161,                0.28784,                0.85497,                0.99963,                0.99983,                  0.995,                0.94879,                0.35144,                0.14843,                0.81647,               0.009505,               0.009505,               0.009505
                      7,                0.44035,                 0.2738,                0.84808,                0.99965,                0.99978,                  0.995,                0.95527,                0.33353,                0.14082,                0.81054,              0.0093813,              0.0093813,              0.0093813
                      8,                0.42367,                0.26335,                0.84301,                0.99976,                0.99977,                  0.995,                0.95925,                0.31997,                0.13551,                0.80678,              0.0092575,              0.0092575,              0.0092575
                      9,                0.40925,                0.25445,                0.83904,                0.99974,                0.99985,                  0.995,                0.96343,                0.30676,                0.13023,                0.80285,              0.0091337,              0.0091337,              0.0091337
                     10,                0.39797,                0.24907,                0.83576,                0.99977,                0.99974,                  0.995,                0.96628,                0.29707,                0.12686,                0.80006,                0.00901,                0.00901,                0.00901
                     11,                0.38785,                0.24223,                0.83351,                0.99978,                0.99985,                  0.995,                0.96866,                0.28973,                0.12355,                0.79811,              0.0088863,              0.0088863,              0.0088863
                     12,                0.37844,                0.23664,                0.83105,                0.99971,                 0.9998,                  0.995,                0.97119,                0.28121,                0.12043,                0.79587,              0.0087625,              0.0087625,              0.0087625
                     13,                0.37068,                0.23276,                0.82907,                0.99978,                0.99983,                  0.995,                0.97293,                0.27546,                 0.1184,                0.79437,              0.0086388,              0.0086388,              0.0086388
                     14,                0.36399,                0.22855,                0.82718,                 0.9998,                0.99986,                  0.995,                0.97401,                 0.2714,                0.11661,                0.79334,               0.008515,               0.008515,               0.008515
