                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.112,                   1.83,                 1.0374,                 0.8923,                0.90991,                0.94884,                0.69009,                 0.9401,                0.79793,                0.92537,               0.070081,              0.0033243,              0.0033243
                      1,                0.98712,                0.88693,                0.93316,                0.90379,                0.90974,                0.95345,                0.73628,                0.82176,                  0.678,                0.89974,               0.040048,              0.0066247,              0.0066247
                      2,                 1.0177,                0.92713,                0.93941,                0.85166,                0.94144,                0.95378,                0.67163,                0.99626,                  0.756,                0.92753,              0.0099824,              0.0098921,              0.0098921
                      3,                      1,                0.83016,                0.94109,                0.92081,                0.94369,                0.97101,                0.76451,                0.78318,                0.63719,                0.89034,              0.0098515,              0.0098515,              0.0098515
                      4,                0.88739,                0.71666,                0.91829,                0.94294,                0.93041,                0.97982,                0.78089,                0.75176,                0.55983,                0.87318,              0.0098515,              0.0098515,              0.0098515
                      5,                0.85116,                0.63423,                  0.907,                0.90076,                0.94036,                0.96992,                 0.7511,                0.78059,                0.59009,                0.88603,               0.009802,               0.009802,               0.009802
                      6,                0.81524,                0.59894,                0.89389,                0.90657,                0.92342,                0.95652,                0.73397,                0.85952,                 0.5976,                0.90174,              0.0097525,              0.0097525,              0.0097525
                      7,                0.78892,                0.57935,                0.89719,                0.91551,                0.95174,                0.97989,                0.81849,                0.64872,                 0.5057,                0.86476,               0.009703,               0.009703,               0.009703
                      8,                0.77933,                0.56041,                0.88622,                0.93923,                0.93468,                0.97988,                 0.8207,                0.67257,                0.48628,                0.86215,              0.0096535,              0.0096535,              0.0096535
                      9,                0.74171,                0.53389,                0.87583,                0.92074,                0.93468,                0.97837,                0.83045,                0.63962,                0.53084,                0.85789,               0.009604,               0.009604,               0.009604
                     10,                0.71901,                0.50608,                0.87488,                0.91044,                0.96156,                0.97476,                0.82326,                0.64327,                0.46664,                0.85108,              0.0095545,              0.0095545,              0.0095545
                     11,                0.70493,                0.49983,                0.86773,                0.94346,                 0.9482,                0.97695,                0.82217,                0.62202,                0.46148,                0.84409,               0.009505,               0.009505,               0.009505
                     12,                0.68197,                 0.4876,                0.86602,                0.93982,                0.94595,                0.97701,                0.84769,                0.59556,                0.42762,                0.84228,              0.0094555,              0.0094555,              0.0094555
                     13,                0.68768,                0.48663,                0.86529,                0.91011,                0.95045,                0.97446,                0.84848,                0.56579,                0.43835,                0.83886,               0.009406,               0.009406,               0.009406
                     14,                0.66156,                 0.4721,                0.85772,                0.90829,                0.94144,                0.97198,                0.85144,                0.55044,                0.43591,                0.83214,              0.0093565,              0.0093565,              0.0093565
                     15,                0.64987,                0.46429,                0.85753,                0.90389,                 0.9482,                  0.974,                 0.8469,                0.58971,                 0.4415,                0.83759,               0.009307,               0.009307,               0.009307
                     16,                0.65421,                0.46598,                0.85997,                0.93948,                0.93694,                0.97977,                0.85177,                0.56949,                0.42056,                0.84201,              0.0092575,              0.0092575,              0.0092575
                     17,                0.64152,                0.45769,                0.85448,                0.94183,                0.93694,                0.97444,                0.84098,                0.59444,                 0.4245,                0.83613,               0.009208,               0.009208,               0.009208
                     18,                0.63336,                0.44629,                0.85478,                 0.9243,                0.96247,                0.98008,                 0.8637,                0.55779,                0.41437,                0.83852,              0.0091585,              0.0091585,              0.0091585
                     19,                  0.619,                0.43516,                0.84769,                0.93624,                0.93919,                0.97914,                0.84771,                0.56228,                0.41908,                0.83551,               0.009109,               0.009109,               0.009109
                     20,                0.62334,                 0.4447,                0.84728,                 0.9478,                0.94058,                0.97225,                0.86227,                0.54085,                0.40496,                0.83204,              0.0090595,              0.0090595,              0.0090595
                     21,                0.61065,                0.43353,                 0.8483,                 0.9371,                0.95946,                0.97526,                0.86752,                0.53255,                0.39268,                0.82921,                0.00901,                0.00901,                0.00901
                     22,                0.59923,                0.42517,                0.84615,                0.91582,                0.94595,                0.97647,                0.85758,                0.53203,                0.41026,                0.83473,              0.0089605,              0.0089605,              0.0089605
                     23,                0.60189,                0.42868,                0.84217,                0.93375,                0.95229,                0.97959,                0.85827,                0.53949,                0.39607,                0.82769,               0.008911,               0.008911,               0.008911
                     24,                0.59949,                0.42105,                0.84511,                0.92698,                0.97213,                0.98346,                0.86546,                0.53865,                0.37959,                0.82928,              0.0088615,              0.0088615,              0.0088615
                     25,                0.59475,                0.41245,                0.84053,                0.93829,                0.95894,                0.97617,                0.87007,                0.52791,                0.38671,                0.82521,               0.008812,               0.008812,               0.008812
                     26,                0.59308,                0.40302,                0.84389,                0.95045,                0.93919,                0.97884,                0.87629,                0.52273,                0.37507,                0.82525,              0.0087625,              0.0087625,              0.0087625
                     27,                0.58146,                0.40778,                0.84559,                0.93436,                0.96184,                0.98205,                0.87608,                0.51766,                0.36375,                0.82226,               0.008713,               0.008713,               0.008713
                     28,                0.58424,                0.40864,                0.83759,                0.94099,                0.95721,                0.98105,                0.87306,                0.51222,                0.37384,                0.82127,              0.0086635,              0.0086635,              0.0086635
                     29,                0.58483,                0.40214,                0.83935,                0.91628,                0.98198,                 0.9829,                0.87338,                0.51276,                0.36536,                0.81946,               0.008614,               0.008614,               0.008614
                     30,                0.57667,                0.40421,                0.83864,                0.93681,                0.96831,                0.98414,                0.88003,                0.51355,                0.35612,                0.81965,              0.0085645,              0.0085645,              0.0085645
                     31,                0.56823,                0.39645,                 0.8328,                0.93439,                0.96622,                0.98232,                0.87712,                0.50027,                0.36065,                0.81465,               0.008515,               0.008515,               0.008515
                     32,                0.56643,                0.38869,                0.84296,                0.95624,                 0.9527,                0.98175,                0.88664,                0.49392,                0.35585,                0.81684,              0.0084655,              0.0084655,              0.0084655
                     33,                0.56308,                 0.3893,                0.83277,                 0.9511,                0.93694,                0.97998,                0.88353,                 0.4956,                0.36696,                0.81884,               0.008416,               0.008416,               0.008416
                     34,                0.55204,                0.38433,                0.83925,                0.92987,                 0.9527,                0.98128,                0.88541,                0.50012,                0.36255,                0.81887,              0.0083665,              0.0083665,              0.0083665
                     35,                0.54814,                0.38695,                0.83007,                0.93486,                0.96975,                0.97738,                0.88765,                0.48641,                0.35511,                0.81399,               0.008317,               0.008317,               0.008317
                     36,                0.54585,                0.37463,                0.82953,                0.94869,                0.95778,                 0.9827,                0.88425,                0.48662,                0.35618,                0.81272,              0.0082675,              0.0082675,              0.0082675
                     37,                0.54404,                0.37598,                0.82582,                0.93506,                0.93919,                0.97971,                0.87533,                0.50351,                0.36939,                0.81399,               0.008218,               0.008218,               0.008218
                     38,                0.54863,                0.37858,                0.83355,                0.95423,                0.93908,                0.98502,                0.88481,                0.49682,                0.35215,                0.82266,              0.0081685,              0.0081685,              0.0081685
                     39,                0.54022,                0.37191,                0.82835,                 0.9277,                0.95495,                0.98055,                0.89209,                0.47699,                 0.3426,                 0.8129,               0.008119,               0.008119,               0.008119
