                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9991,                 3.0257,                0.93606,                0.90467,                0.91904,                0.95211,                0.71557,                0.91226,                 1.3011,                0.91098,             0.00066485,             0.00066485,             0.00066485
                      2,                0.88658,                 1.1851,                0.88605,                0.92346,                0.94144,                0.96114,                0.78561,                0.75463,                0.69571,                  0.869,              0.0013249,              0.0013249,              0.0013249
                      3,                0.82904,                0.78876,                0.87982,                0.91156,                0.88739,                0.94641,                0.77781,                0.76723,                0.62724,                0.86608,              0.0019784,              0.0019784,              0.0019784
                      4,                0.80384,                0.67023,                0.87129,                0.90797,                0.93332,                0.96309,                0.79049,                0.75109,                0.58406,                 0.8519,              0.0019703,              0.0019703,              0.0019703
                      5,                0.74774,                 0.5923,                0.85791,                0.92109,                0.92117,                0.95801,                0.75775,                0.81313,                0.60266,                0.86659,              0.0019703,              0.0019703,              0.0019703
                      6,                0.75484,                0.57636,                0.85566,                0.93583,                0.91892,                0.96067,                 0.8013,                0.66667,                 0.5349,                0.84156,              0.0019604,              0.0019604,              0.0019604
                      7,                0.71424,                0.56236,                0.84932,                0.90092,                0.92568,                0.96071,                0.79394,                0.70183,                0.54395,                0.84635,              0.0019505,              0.0019505,              0.0019505
                      8,                0.70124,                 0.5464,                0.84683,                 0.9221,                0.93305,                0.96669,                0.82579,                0.64658,                0.49149,                0.83851,              0.0019406,              0.0019406,              0.0019406
                      9,                0.67097,                0.51247,                0.83986,                 0.9349,                0.92793,                0.97382,                0.83569,                0.62033,                 0.5018,                0.83227,              0.0019307,              0.0019307,              0.0019307
                     10,                0.67542,                0.50665,                0.84213,                0.93173,                0.92793,                  0.973,                 0.8193,                0.66153,                0.50906,                0.83288,              0.0019208,              0.0019208,              0.0019208
                     11,                0.66807,                0.49875,                0.84354,                0.90365,                0.96396,                0.97415,                 0.8251,                0.62807,                0.47801,                0.82981,              0.0019109,              0.0019109,              0.0019109
                     12,                 0.6655,                0.48727,                0.83862,                0.91264,                0.94111,                0.96526,                0.82541,                0.63762,                0.49514,                0.83786,               0.001901,               0.001901,               0.001901
                     13,                0.64153,                0.49024,                0.83713,                0.93318,                0.94595,                0.97806,                0.84076,                0.60322,                0.45238,                0.82728,              0.0018911,              0.0018911,              0.0018911
                     14,                0.65055,                0.48383,                0.83113,                0.95347,                0.92299,                0.97164,                0.85184,                 0.5746,                0.45006,                0.82062,              0.0018812,              0.0018812,              0.0018812
                     15,                0.62992,                0.46345,                0.82724,                0.90945,                0.95045,                0.97147,                0.84598,                0.59385,                0.45634,                0.82475,              0.0018713,              0.0018713,              0.0018713
                     16,                0.62824,                0.46945,                0.83292,                0.92334,                0.94946,                 0.9773,                0.85209,                0.60265,                0.43946,                0.82359,              0.0018614,              0.0018614,              0.0018614
                     17,                0.62452,                0.45586,                0.83337,                 0.9497,                0.93559,                0.98148,                0.85611,                 0.5757,                0.42827,                0.81667,              0.0018515,              0.0018515,              0.0018515
                     18,                0.60358,                0.43789,                0.82225,                0.93831,                0.92495,                0.97433,                0.85787,                0.59229,                0.43751,                0.82629,              0.0018416,              0.0018416,              0.0018416
                     19,                 0.5994,                 0.4342,                0.82447,                0.94055,                0.92642,                0.97809,                0.85967,                0.58875,                0.46171,                0.81802,              0.0018317,              0.0018317,              0.0018317
                     20,                0.59585,                0.43033,                0.82764,                0.93308,                0.94206,                0.97177,                0.84787,                0.57028,                  0.457,                0.81695,              0.0018218,              0.0018218,              0.0018218
                     21,                0.59655,                0.44197,                0.82302,                0.93147,                0.92568,                0.97702,                 0.8481,                0.58265,                0.42913,                0.81651,              0.0018119,              0.0018119,              0.0018119
                     22,                0.59353,                0.42551,                0.82293,                0.93814,                0.93694,                0.97779,                0.85955,                 0.5561,                 0.4194,                0.81471,               0.001802,               0.001802,               0.001802
                     23,                0.58237,                0.42039,                0.82494,                0.92687,                0.94201,                0.97917,                 0.8575,                0.56134,                0.42497,                0.81884,              0.0017921,              0.0017921,              0.0017921
                     24,                0.59174,                0.42067,                0.82151,                0.91535,                0.94986,                0.97539,                 0.8519,                0.56114,                0.43728,                0.81359,              0.0017822,              0.0017822,              0.0017822
