                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89814,                 1.1487,                  1.058,                0.98304,                 0.9765,                0.99228,                0.84999,                0.60104,                0.32128,                0.93494,               0.003332,               0.003332,               0.003332
                      2,                0.68431,                0.52032,                0.94917,                0.99119,                0.98624,                0.99427,                0.88021,                0.52993,                0.25749,                0.90355,              0.0066434,              0.0066434,              0.0066434
                      3,                0.67311,                0.49875,                0.94636,                 0.9917,                0.98684,                 0.9943,                0.88357,                0.52541,                0.24703,                0.90671,              0.0099327,              0.0099327,              0.0099327
                      4,                0.64756,                0.47151,                0.93956,                0.99461,                0.99149,                0.99469,                0.90057,                0.48167,                0.21429,                0.88246,               0.009901,               0.009901,               0.009901
                      5,                 0.6007,                0.42564,                0.92135,                0.99556,                0.99337,                 0.9948,                0.91251,                0.45265,                0.19667,                0.86841,               0.009901,               0.009901,               0.009901
                      6,                0.57295,                0.39934,                0.91058,                0.99601,                0.99514,                0.99484,                0.92004,                0.43364,                0.18495,                 0.8597,               0.009868,               0.009868,               0.009868
                      7,                0.55524,                0.38413,                0.90458,                0.99683,                0.99537,                0.99488,                0.92539,                0.41965,                0.17709,                0.85334,               0.009835,               0.009835,               0.009835
                      8,                0.54052,                0.37241,                 0.8991,                0.99734,                0.99578,                0.99491,                 0.9305,                0.40754,                0.17065,                0.84783,               0.009802,               0.009802,               0.009802
                      9,                0.52901,                0.36317,                0.89486,                0.99751,                0.99562,                0.99491,                0.93364,                0.39786,                 0.1665,                0.84346,               0.009769,               0.009769,               0.009769
                     10,                0.51943,                 0.3566,                0.89158,                0.99725,                0.99644,                0.99493,                0.93654,                0.39026,                 0.1631,                0.84047,               0.009736,               0.009736,               0.009736
                     11,                0.51033,                0.35016,                0.88845,                0.99761,                0.99644,                0.99492,                0.93889,                0.38455,                0.16055,                0.83812,               0.009703,               0.009703,               0.009703
                     12,                0.50376,                0.34601,                0.88632,                0.99756,                0.99664,                0.99492,                0.94039,                0.37998,                0.15858,                0.83632,                0.00967,                0.00967,                0.00967
                     13,                0.49806,                0.34191,                0.88394,                0.99758,                0.99663,                0.99493,                0.94153,                0.37633,                0.15694,                0.83494,               0.009637,               0.009637,               0.009637
                     14,                0.49224,                0.33716,                0.88169,                0.99766,                0.99667,                0.99493,                0.94253,                 0.3731,                 0.1556,                0.83369,               0.009604,               0.009604,               0.009604
                     15,                0.48684,                 0.3349,                0.88011,                0.99762,                0.99678,                0.99493,                0.94346,                0.37029,                0.15458,                0.83263,               0.009571,               0.009571,               0.009571
                     16,                0.48178,                0.33085,                0.87843,                0.99753,                0.99701,                0.99493,                0.94422,                0.36781,                0.15359,                0.83172,               0.009538,               0.009538,               0.009538
                     17,                0.47822,                0.32884,                0.87711,                0.99748,                0.99713,                0.99494,                0.94506,                0.36544,                0.15272,                0.83078,               0.009505,               0.009505,               0.009505
                     18,                0.47447,                0.32669,                0.87601,                0.99773,                0.99698,                0.99494,                0.94589,                0.36321,                  0.152,                0.82995,               0.009472,               0.009472,               0.009472
                     19,                0.47106,                0.32489,                0.87504,                 0.9977,                0.99709,                0.99494,                0.94665,                0.36094,                0.15116,                0.82914,               0.009439,               0.009439,               0.009439
                     20,                0.46888,                0.32342,                0.87411,                0.99773,                0.99711,                0.99494,                0.94734,                0.35885,                0.15039,                0.82835,               0.009406,               0.009406,               0.009406
                     21,                0.46426,                0.32093,                 0.8726,                0.99786,                0.99705,                0.99494,                0.94815,                0.35665,                0.14968,                0.82756,               0.009373,               0.009373,               0.009373
                     22,                0.46089,                0.31853,                0.87133,                0.99793,                0.99706,                0.99495,                0.94888,                0.35413,                0.14889,                0.82666,                0.00934,                0.00934,                0.00934
                     23,                0.45846,                0.31691,                0.87093,                  0.998,                0.99699,                0.99494,                0.94959,                0.35157,                 0.1481,                0.82573,               0.009307,               0.009307,               0.009307
                     24,                0.45609,                0.31577,                0.87004,                0.99784,                0.99718,                0.99495,                0.95038,                0.34919,                0.14726,                0.82486,               0.009274,               0.009274,               0.009274
                     25,                0.45327,                0.31421,                0.86896,                0.99793,                0.99718,                0.99495,                 0.9511,                0.34679,                0.14651,                0.82402,               0.009241,               0.009241,               0.009241
