                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0993,                 2.2818,                  1.109,                0.95653,                0.92829,                 0.9767,                0.77044,                0.78018,                0.60851,                 1.0123,               0.003332,               0.003332,               0.003332
                      2,                 0.8714,                0.86541,                 1.0155,                0.97796,                0.96346,                0.99034,                0.82617,                0.66028,                0.45419,                0.94934,              0.0066324,              0.0066324,              0.0066324
                      3,                0.83314,                 0.7669,                 1.0011,                0.98132,                 0.9687,                0.99147,                0.83073,                0.65368,                0.41166,                0.95288,              0.0098997,              0.0098997,              0.0098997
                      4,                0.78939,                0.68049,                0.99076,                0.98829,                0.97956,                 0.9935,                 0.8578,                0.58406,                0.32985,                0.92893,              0.0098515,              0.0098515,              0.0098515
                      5,                0.74244,                0.60445,                0.97485,                0.98954,                0.98332,                0.99405,                0.86939,                0.55554,                0.29521,                0.91608,              0.0098515,              0.0098515,              0.0098515
                      6,                0.71513,                0.56265,                0.96202,                0.99119,                0.98539,                0.99429,                0.87774,                0.53695,                0.27425,                0.90551,               0.009802,               0.009802,               0.009802
                      7,                 0.6966,                0.53556,                0.95332,                0.99171,                0.98719,                0.99441,                0.88376,                0.52273,                0.26101,                0.89851,              0.0097525,              0.0097525,              0.0097525
                      8,                0.68441,                0.52047,                0.94841,                0.99198,                 0.9878,                0.99444,                0.88756,                0.51293,                0.25218,                0.89364,               0.009703,               0.009703,               0.009703
                      9,                0.67454,                0.50814,                 0.9442,                0.99246,                0.98882,                0.99449,                0.89013,                0.50533,                0.24545,                0.88986,              0.0096535,              0.0096535,              0.0096535
                     10,                0.66579,                0.49668,                0.93973,                0.99291,                0.98911,                0.99453,                0.89226,                0.50129,                0.24051,                0.88773,               0.009604,               0.009604,               0.009604
                     11,                0.65977,                0.48847,                0.93738,                0.99293,                0.98961,                0.99457,                0.89369,                0.49762,                0.23715,                0.88597,              0.0095545,              0.0095545,              0.0095545
                     12,                0.65378,                0.48261,                0.93492,                0.99306,                0.98955,                0.99458,                0.89496,                 0.4948,                0.23474,                0.88472,               0.009505,               0.009505,               0.009505
