                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72574,                 1.1246,                0.97236,                0.92541,                0.97076,                0.97581,                0.82309,                0.58239,                0.56698,                0.81476,                0.00333,                0.00333,                0.00333
                      2,                0.79582,                0.70315,                0.99004,                0.90123,                0.81622,                0.87597,                0.69955,                  0.725,                 1.6357,                 0.9154,              0.0066413,              0.0066413,              0.0066413
                      3,                0.92918,                0.86219,                 1.0771,                0.92582,                0.85741,                0.91242,                0.70114,                0.83564,                0.93323,                0.99826,              0.0099307,              0.0099307,              0.0099307
                      4,                0.95948,                0.85215,                  1.112,                0.90235,                   0.88,                0.94472,                0.77473,                0.67093,                 1.1001,                0.94183,               0.009901,               0.009901,               0.009901
                      5,                0.87319,                0.74377,                 1.0762,                0.93764,                0.93321,                0.96172,                0.79604,                0.65058,                 0.6313,                0.92127,               0.009901,               0.009901,               0.009901
                      6,                0.79633,                0.64807,                 1.0397,                0.92518,                0.92461,                0.97235,                0.81478,                0.62907,                0.67126,                0.90618,               0.009868,               0.009868,               0.009868
                      7,                0.75885,                0.61188,                 1.0259,                0.94179,                0.96548,                0.98274,                0.84909,                0.54742,                0.44877,                0.85118,               0.009835,               0.009835,               0.009835
                      8,                0.71842,                0.56693,                 1.0041,                0.95765,                0.95206,                0.98766,                0.86366,                0.51707,                0.42752,                0.84114,               0.009802,               0.009802,               0.009802
                      9,                0.70099,                0.54703,                 0.9975,                0.94858,                0.95505,                0.98502,                0.86468,                0.52383,                 0.4137,                0.85939,               0.009769,               0.009769,               0.009769
                     10,                 0.6773,                0.52266,                0.98678,                0.96102,                0.95667,                0.98742,                0.87203,                0.51784,                0.40013,                0.84874,               0.009736,               0.009736,               0.009736
                     11,                0.66247,                0.50529,                0.97836,                0.94027,                0.97221,                0.98437,                0.88508,                 0.4626,                0.38636,                0.82661,               0.009703,               0.009703,               0.009703
                     12,                0.64362,                0.48921,                0.96988,                0.92455,                0.98981,                0.98402,                0.88202,                 0.4646,                0.44584,                0.82694,                0.00967,                0.00967,                0.00967
                     13,                 0.6337,                0.47512,                0.96641,                0.96225,                0.97624,                0.98828,                0.88977,                0.46394,                 0.3557,                0.82368,               0.009637,               0.009637,               0.009637
                     14,                0.61751,                0.46232,                0.95678,                0.96232,                0.96952,                0.98666,                0.88232,                0.47362,                0.35827,                 0.8174,               0.009604,               0.009604,               0.009604
                     15,                0.61343,                0.46029,                 0.9548,                0.96252,                0.96671,                0.98769,                0.90461,                0.43678,                0.32566,                0.80755,               0.009571,               0.009571,               0.009571
                     16,                0.60383,                0.44672,                0.95116,                0.96221,                0.97455,                0.98878,                0.90126,                0.43886,                0.32017,                0.80488,               0.009538,               0.009538,               0.009538
                     17,                0.59237,                0.43599,                0.94266,                0.96669,                 0.9688,                0.98739,                0.89915,                0.42597,                0.30208,                0.79798,               0.009505,               0.009505,               0.009505
                     18,                0.59196,                 0.4363,                0.93943,                0.95778,                0.98035,                0.98806,                 0.8986,                0.43015,                0.31646,                0.80537,               0.009472,               0.009472,               0.009472
                     19,                0.58182,                0.43298,                0.93628,                0.96927,                0.96937,                0.98706,                0.90829,                0.41836,                0.30114,                0.79826,               0.009439,               0.009439,               0.009439
                     20,                 0.5788,                0.42653,                0.93197,                0.96961,                0.97681,                0.98991,                0.91773,                0.40914,                0.28693,                 0.7896,               0.009406,               0.009406,               0.009406
                     21,                0.57397,                0.41974,                0.93227,                0.96025,                0.97853,                0.98958,                 0.9182,                0.40422,                0.28463,                0.78907,               0.009373,               0.009373,               0.009373
