                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73893,                 1.0924,                0.96449,                0.93241,                0.93726,                0.96845,                0.82849,                 0.5678,                0.53317,                0.79673,                0.00333,                0.00333,                0.00333
                      2,                0.78499,                 0.6777,                0.97014,                  0.918,                0.87746,                0.94268,                0.78037,                 0.6476,                0.66111,                 0.8711,              0.0066413,              0.0066413,              0.0066413
                      3,                 0.9018,                0.81754,                 1.0402,                0.87892,                0.87839,                0.93873,                0.73053,                0.82706,                 1.4086,                0.97211,              0.0099307,              0.0099307,              0.0099307
                      4,                0.94878,                0.83496,                 1.0742,                0.90108,                0.89372,                0.95261,                0.79477,                   0.66,                0.89409,                0.90739,               0.009901,               0.009901,               0.009901
                      5,                0.86608,                0.73212,                  1.049,                0.93763,                0.91809,                 0.9662,                0.79989,                0.63644,                0.66129,                0.88846,               0.009901,               0.009901,               0.009901
                      6,                0.79435,                0.64377,                 1.0218,                0.93596,                0.95748,                0.97791,                0.84358,                0.58243,                0.49139,                0.86514,               0.009868,               0.009868,               0.009868
                      7,                0.75945,                0.60354,                 1.0091,                0.95545,                0.95074,                0.98357,                0.85108,                0.56163,                0.48128,                 0.8606,               0.009835,               0.009835,               0.009835
                      8,                0.72832,                0.57559,                  0.988,                0.95085,                0.94312,                0.98277,                0.85656,                0.53723,                0.44372,                0.82729,               0.009802,               0.009802,               0.009802
                      9,                0.71336,                0.55787,                0.98395,                 0.9561,                0.96281,                0.98429,                0.86773,                0.51224,                0.50927,                 0.8273,               0.009769,               0.009769,               0.009769
                     10,                0.68873,                0.52689,                0.97601,                0.95677,                0.96836,                0.98538,                0.86371,                0.50841,                0.49145,                0.82479,               0.009736,               0.009736,               0.009736
                     11,                0.67063,                0.50982,                0.96303,                 0.9669,                 0.9645,                0.98546,                0.88374,                0.47762,                0.38052,                0.80981,               0.009703,               0.009703,               0.009703
                     12,                0.65391,                0.50049,                0.95929,                0.96352,                0.96702,                0.98622,                0.88754,                0.45868,                0.36867,                0.81014,                0.00967,                0.00967,                0.00967
                     13,                0.64386,                0.48691,                 0.9581,                0.96178,                0.97626,                0.98633,                0.89161,                0.46149,                 0.3529,                0.80527,               0.009637,               0.009637,               0.009637
                     14,                0.63416,                0.46849,                0.94836,                0.96241,                0.97299,                0.98849,                0.88983,                0.47355,                0.34489,                 0.8119,               0.009604,               0.009604,               0.009604
                     15,                 0.6187,                 0.4653,                0.94633,                0.96428,                0.97511,                0.98834,                0.90459,                0.43785,                0.32711,                0.80332,               0.009571,               0.009571,               0.009571
                     16,                0.61361,                0.46049,                0.94148,                 0.9571,                 0.9811,                0.98767,                0.90092,                 0.4327,                0.32887,                0.79523,               0.009538,               0.009538,               0.009538
                     17,                0.60319,                  0.449,                0.93833,                0.97152,                0.97603,                0.98815,                0.90704,                0.42656,                0.30719,                0.79185,               0.009505,               0.009505,               0.009505
                     18,                0.59308,                0.43469,                0.93257,                0.97058,                0.97073,                0.98783,                0.90516,                0.41918,                0.34398,                0.79427,               0.009472,               0.009472,               0.009472
                     19,                0.58563,                0.43374,                 0.9298,                0.97837,                0.97147,                0.98822,                 0.9105,                 0.4154,                0.29674,                0.78879,               0.009439,               0.009439,               0.009439
                     20,                 0.5833,                0.43187,                0.92694,                0.97499,                0.97255,                0.98986,                0.91819,                0.39807,                0.28227,                0.78045,               0.009406,               0.009406,               0.009406
                     21,                0.57579,                0.42703,                0.92535,                0.97076,                0.97511,                0.98889,                0.91648,                 0.3959,                0.28853,                0.78418,               0.009373,               0.009373,               0.009373
                     22,                0.57419,                 0.4222,                0.93081,                0.97378,                0.97681,                0.98969,                 0.9171,                0.40249,                0.29649,                0.78162,                0.00934,                0.00934,                0.00934
                     23,                0.56667,                0.41295,                0.92751,                0.96764,                0.98396,                0.98937,                0.92252,                0.39248,                0.27554,                0.77913,               0.009307,               0.009307,               0.009307
                     24,                0.55899,                0.41382,                0.91574,                0.97918,                0.97342,                0.99135,                0.92639,                0.39468,                0.26467,                0.77859,               0.009274,               0.009274,               0.009274
                     25,                0.56198,                0.40783,                0.92302,                0.97071,                0.97624,                0.98995,                0.92645,                0.38736,                0.27051,                0.77298,               0.009241,               0.009241,               0.009241
                     26,                0.55312,                0.40351,                0.91774,                0.97544,                0.97819,                 0.9906,                0.92475,                0.38062,                0.26323,                0.77027,               0.009208,               0.009208,               0.009208
                     27,                0.54785,                0.39985,                0.91205,                0.97379,                 0.9785,                0.99016,                0.92668,                0.37793,                0.26454,                0.76955,               0.009175,               0.009175,               0.009175
                     28,                0.54898,                0.39534,                0.91646,                0.96622,                0.98355,                0.99022,                0.92832,                0.37148,                0.27029,                0.76602,               0.009142,               0.009142,               0.009142
                     29,                0.54703,                  0.392,                0.91374,                 0.9715,                0.98416,                0.98995,                0.92899,                0.37281,                 0.2611,                0.76955,               0.009109,               0.009109,               0.009109
                     30,                 0.5377,                 0.3893,                 0.9096,                0.97126,                0.98416,                0.98997,                0.93218,                0.36904,                0.26143,                0.76847,               0.009076,               0.009076,               0.009076
                     31,                0.54085,                0.39023,                0.91822,                0.97381,                0.97624,                0.99078,                0.93427,                 0.3681,                0.25996,                0.76723,               0.009043,               0.009043,               0.009043
                     32,                0.52747,                0.38292,                0.90113,                0.97239,                0.98084,                0.99071,                0.93575,                0.36824,                0.24808,                0.76515,                0.00901,                0.00901,                0.00901
                     33,                0.53551,                0.38627,                0.90525,                0.97349,                0.97568,                 0.9912,                0.93846,                 0.3648,                 0.2455,                0.76314,               0.008977,               0.008977,               0.008977
                     34,                0.53442,                0.38279,                0.91017,                0.97223,                0.98408,                0.99118,                0.93819,                0.35828,                0.23836,                0.76224,               0.008944,               0.008944,               0.008944
                     35,                0.52526,                0.37231,                0.90709,                0.96938,                0.98388,                0.99042,                0.93744,                0.35607,                0.24615,                0.76558,               0.008911,               0.008911,               0.008911
                     36,                0.52683,                0.37354,                 0.9057,                0.97041,                0.98626,                0.99046,                0.93913,                 0.3563,                0.23887,                0.76445,               0.008878,               0.008878,               0.008878
                     37,                0.51813,                0.36928,                0.90139,                0.96985,                0.98146,                0.99058,                 0.9382,                0.35383,                0.23996,                0.76229,               0.008845,               0.008845,               0.008845
                     38,                0.52506,                0.37158,                0.90364,                0.96805,                0.98303,                0.99039,                0.93925,                0.35295,                0.24232,                0.76253,               0.008812,               0.008812,               0.008812
                     39,                0.51783,                0.37299,                 0.9018,                0.96971,                0.98133,                0.99026,                0.93768,                0.34907,                0.23824,                0.76329,               0.008779,               0.008779,               0.008779
                     40,                0.51689,                0.36481,                0.89993,                0.97379,                0.98126,                 0.9904,                0.93939,                0.34697,                0.23826,                0.76236,               0.008746,               0.008746,               0.008746
                     41,                0.51767,                0.36879,                0.90532,                0.96939,                0.98518,                0.99037,                0.93985,                0.34553,                0.23797,                 0.7609,               0.008713,               0.008713,               0.008713
                     42,                0.51517,                0.36021,                 0.9011,                0.97765,                0.98017,                0.99082,                0.94288,                0.34455,                0.22429,                0.76136,                0.00868,                0.00868,                0.00868
                     43,                 0.5126,                0.36157,                0.90656,                0.97627,                0.98473,                0.99144,                0.94393,                0.34257,                0.22262,                0.76029,               0.008647,               0.008647,               0.008647
                     44,                0.50839,                0.35617,                0.89821,                 0.9741,                0.98643,                0.99173,                0.94455,                0.34523,                0.22556,                0.75985,               0.008614,               0.008614,               0.008614
                     45,                0.51085,                0.35414,                0.90418,                0.97486,                0.97942,                0.99163,                0.94221,                0.34301,                0.22852,                0.76137,               0.008581,               0.008581,               0.008581
                     46,                0.50166,                0.35803,                0.90035,                0.97462,                0.98352,                0.99116,                0.94248,                0.34219,                 0.2312,                0.75989,               0.008548,               0.008548,               0.008548
                     47,                0.50199,                0.36011,                0.89646,                 0.9738,                 0.9811,                0.99098,                0.94187,                0.34011,                0.22377,                0.75883,               0.008515,               0.008515,               0.008515
                     48,                0.50043,                0.34963,                0.89858,                0.97295,                0.98247,                0.99073,                0.94244,                0.33803,                0.21817,                0.75751,               0.008482,               0.008482,               0.008482
                     49,                0.49995,                0.34768,                0.89517,                0.97368,                0.98416,                0.99068,                 0.9433,                0.33605,                0.21393,                0.75612,               0.008449,               0.008449,               0.008449
                     50,                0.50508,                0.35238,                0.90058,                0.97928,                0.97794,                0.99081,                0.94505,                 0.3342,                0.21229,                0.75572,               0.008416,               0.008416,               0.008416
