                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88091,                 2.3101,                0.97712,                0.93518,                0.90401,                0.95739,                 0.7801,                0.69106,                  2.165,                0.82983,                0.00333,                0.00333,                0.00333
                      2,                0.90022,                 1.0768,                0.97934,                0.93514,                0.93473,                0.95353,                0.77047,                0.70824,                0.80639,                0.86582,              0.0066303,              0.0066303,              0.0066303
                      3,                0.99337,                0.96482,                 1.0388,                0.75735,                0.82076,                0.87392,                0.67333,                 0.8284,                 4.1511,                0.94849,              0.0098977,              0.0098977,              0.0098977
                      4,                0.98371,                0.89373,                 1.0582,                0.88451,                0.85991,                0.93133,                0.74029,                 0.7581,                 1.3699,                0.91458,              0.0098515,              0.0098515,              0.0098515
                      5,                0.91138,                0.78186,                 1.0367,                0.90726,                0.89996,                 0.9506,                0.76098,                0.73334,                 1.1819,                0.93159,              0.0098515,              0.0098515,              0.0098515
                      6,                0.85134,                 0.6992,                 1.0146,                0.95135,                0.94512,                0.97874,                0.81343,                0.64459,                0.59964,                0.87754,               0.009802,               0.009802,               0.009802
                      7,                0.82351,                0.67356,                0.99651,                0.95683,                0.95471,                 0.9792,                0.83588,                0.60684,                    0.5,                0.84925,              0.0097525,              0.0097525,              0.0097525
                      8,                0.77997,                0.62844,                0.98244,                0.94941,                0.95166,                 0.9794,                0.84713,                0.56044,                0.46332,                0.83322,               0.009703,               0.009703,               0.009703
                      9,                0.77512,                0.61522,                0.98331,                0.94822,                0.93253,                0.98109,                0.84917,                0.57767,                0.63898,                0.83677,              0.0096535,              0.0096535,              0.0096535
                     10,                0.74197,                0.59215,                 0.9649,                 0.9444,                0.97054,                0.98265,                0.85618,                0.54236,                0.49458,                0.81372,               0.009604,               0.009604,               0.009604
                     11,                0.72446,                0.56923,                0.96022,                0.94483,                 0.9694,                 0.9813,                0.85082,                0.54168,                0.44834,                0.82629,              0.0095545,              0.0095545,              0.0095545
                     12,                0.71278,                 0.5488,                0.95453,                0.95854,                0.96048,                0.98633,                0.86923,                0.52515,                0.41311,                0.81714,               0.009505,               0.009505,               0.009505
                     13,                0.69908,                0.53949,                0.95207,                 0.9589,                0.96352,                0.98664,                0.87244,                0.51329,                0.40462,                0.80642,              0.0094555,              0.0094555,              0.0094555
                     14,                0.69006,                0.52615,                0.94917,                0.96038,                0.96691,                0.98839,                0.87602,                0.49673,                0.41191,                0.80319,               0.009406,               0.009406,               0.009406
                     15,                0.68777,                0.52911,                0.94963,                0.96056,                0.96758,                0.98762,                0.88021,                0.47442,                0.38408,                  0.801,              0.0093565,              0.0093565,              0.0093565
                     16,                0.66563,                 0.5144,                0.93644,                 0.9606,                0.97624,                0.98723,                0.88581,                0.48545,                0.42184,                0.79505,               0.009307,               0.009307,               0.009307
                     17,                0.66854,                0.50801,                  0.936,                0.97226,                0.96938,                0.98922,                0.88742,                 0.4784,                0.36027,                0.79686,              0.0092575,              0.0092575,              0.0092575
                     18,                0.65206,                0.49341,                0.93063,                0.97178,                0.97079,                0.98956,                0.89173,                0.47322,                0.34395,                0.79895,               0.009208,               0.009208,               0.009208
                     19,                0.65289,                  0.494,                0.93494,                0.96704,                0.97434,                0.98785,                0.89081,                0.46635,                0.35891,                0.79156,              0.0091585,              0.0091585,              0.0091585
                     20,                 0.6555,                 0.4944,                0.93206,                 0.9576,                0.98417,                0.98476,                0.89316,                0.44992,                0.33404,                0.78921,               0.009109,               0.009109,               0.009109
                     21,                0.63783,                0.48165,                0.92818,                0.96457,                0.97749,                0.98869,                0.89915,                0.43868,                0.31983,                0.78264,              0.0090595,              0.0090595,              0.0090595
                     22,                0.63493,                0.48101,                0.92404,                 0.9667,                0.97529,                 0.9886,                0.90216,                0.43525,                0.33733,                0.78416,                0.00901,                0.00901,                0.00901
