                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7099,                0.94826,                0.97286,                0.89267,                0.94503,                0.97251,                0.85067,                0.50376,                 0.7139,                0.79145,                0.00333,                0.00333,                0.00333
                      2,                0.77406,                0.67103,                0.98137,                0.94045,                0.86361,                 0.9217,                0.76671,                 0.6532,                0.97778,                0.88061,              0.0066413,              0.0066413,              0.0066413
                      3,                0.89779,                0.80967,                 1.0687,                0.85924,                0.76136,                0.83659,                0.65708,                0.85617,                 1.3728,                 1.0581,              0.0099307,              0.0099307,              0.0099307
                      4,                0.94158,                 0.8289,                 1.1093,                 0.9372,                0.89667,                0.95265,                0.77622,                0.67026,                 0.7084,                 0.9493,               0.009901,               0.009901,               0.009901
                      5,                 0.8583,                0.72902,                 1.0843,                0.94778,                0.93551,                0.97039,                0.81631,                0.62106,                0.61332,                0.90165,               0.009901,               0.009901,               0.009901
                      6,                0.78452,                0.63301,                 1.0387,                0.94234,                0.94952,                0.97561,                0.83121,                0.58398,                0.51665,                0.89761,               0.009868,               0.009868,               0.009868
                      7,                0.74374,                0.59987,                 1.0197,                  0.961,                0.94543,                0.98285,                0.84994,                0.54148,                0.47748,                0.86706,               0.009835,               0.009835,               0.009835
                      8,                  0.707,                0.55284,                 1.0012,                0.94982,                 0.9578,                0.98464,                0.85632,                0.53847,                0.44821,                0.86692,               0.009802,               0.009802,               0.009802
                      9,                0.69228,                0.53545,                 1.0015,                 0.9621,                0.97228,                0.98567,                0.87517,                0.50023,                0.40167,                0.85102,               0.009769,               0.009769,               0.009769
                     10,                0.66583,                0.51103,                0.98581,                0.95084,                 0.9661,                0.98709,                0.87886,                0.49128,                0.46352,                 0.8378,               0.009736,               0.009736,               0.009736
                     11,                0.65143,                0.48696,                0.97277,                 0.9509,                0.96765,                0.97841,                0.86847,                0.48332,                0.43116,                0.83366,               0.009703,               0.009703,               0.009703
                     12,                0.63747,                0.48606,                0.97288,                0.95309,                0.97342,                0.98663,                0.88962,                0.46322,                0.37056,                0.82427,                0.00967,                0.00967,                0.00967
                     13,                0.62804,                0.46734,                0.96515,                0.96176,                 0.9732,                0.98661,                0.89745,                0.46559,                 0.3436,                0.82406,               0.009637,               0.009637,               0.009637
                     14,                0.61138,                0.45316,                0.95976,                0.96679,                0.96929,                  0.989,                0.89505,                0.45559,                0.34412,                0.81677,               0.009604,               0.009604,               0.009604
                     15,                0.60446,                0.44832,                0.95703,                0.96319,                0.97968,                0.98816,                0.90085,                 0.4412,                0.31548,                0.81538,               0.009571,               0.009571,               0.009571
                     16,                0.59885,                0.43698,                0.95507,                0.96669,                0.97934,                0.98912,                0.91117,                0.43457,                 0.3077,                0.80404,               0.009538,               0.009538,               0.009538
                     17,                 0.5898,                0.43153,                0.94524,                0.97188,                0.97405,                0.98431,                0.90513,                0.41874,                0.29952,                0.79693,               0.009505,               0.009505,               0.009505
                     18,                0.58389,                0.42043,                0.94321,                0.95795,                0.98619,                0.98777,                0.90356,                0.42822,                0.30909,                0.80864,               0.009472,               0.009472,               0.009472
                     19,                0.56805,                 0.4155,                0.93538,                0.97266,                0.97828,                 0.9893,                0.91071,                0.40931,                0.29347,                0.79924,               0.009439,               0.009439,               0.009439
                     20,                0.56983,                0.41608,                0.93595,                0.96338,                0.98133,                 0.9897,                 0.9163,                0.40668,                0.29439,                0.79363,               0.009406,               0.009406,               0.009406
                     21,                0.56235,                0.41013,                0.93202,                0.97217,                0.97549,                0.98896,                0.92333,                0.39513,                0.28711,                0.78969,               0.009373,               0.009373,               0.009373
                     22,                0.55196,                0.40133,                0.93115,                0.96727,                0.98346,                0.98916,                0.91977,                 0.3976,                0.28344,                0.79008,                0.00934,                0.00934,                0.00934
                     23,                 0.5522,                0.39295,                0.93361,                0.96855,                 0.9833,                0.98942,                0.92613,                0.39969,                0.27795,                 0.7923,               0.009307,               0.009307,               0.009307
                     24,                0.54628,                0.39292,                0.92433,                0.97718,                0.97647,                0.98943,                0.92503,                0.38748,                0.27017,                0.78925,               0.009274,               0.009274,               0.009274
                     25,                0.54759,                0.39919,                0.92871,                0.97618,                0.97216,                0.99021,                 0.9229,                0.37968,                0.26682,                0.78395,               0.009241,               0.009241,               0.009241
                     26,                0.54253,                0.39968,                0.92797,                0.98028,                0.97098,                0.99025,                0.93005,                0.37109,                0.25738,                0.77834,               0.009208,               0.009208,               0.009208
                     27,                0.53638,                0.37881,                0.91891,                0.97177,                0.98132,                0.98986,                0.92992,                0.37659,                0.25055,                0.77948,               0.009175,               0.009175,               0.009175
                     28,                0.53171,                0.38056,                0.91748,                0.97385,                0.98077,                0.98953,                0.93116,                 0.3705,                0.25881,                0.77686,               0.009142,               0.009142,               0.009142
                     29,                0.53469,                0.38058,                0.92241,                 0.9702,                0.98247,                0.98854,                 0.9282,                0.36866,                0.26248,                0.78004,               0.009109,               0.009109,               0.009109
