                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77695,                 1.7755,                 1.0129,                0.92697,                0.86537,                0.93318,                0.77659,                0.63733,                0.54499,                0.94001,              0.0033297,              0.0033297,              0.0033297
                      2,                0.75524,                0.68521,                0.99342,                0.81298,                0.78087,                0.86039,                0.70381,                0.74511,                 0.7915,                 1.0067,               0.006641,               0.006641,               0.006641
                      3,                0.85989,                0.82377,                 1.0309,                0.84925,                 0.8322,                0.87929,                0.68018,                0.85224,                0.75352,                 1.0637,              0.0099304,              0.0099304,              0.0099304
                      4,                0.94192,                 0.8969,                 1.0769,                0.86105,                0.84717,                0.89713,                0.69903,                0.82537,                0.75808,                 1.0631,               0.009901,               0.009901,               0.009901
                      5,                0.92607,                0.81825,                  1.074,                0.85803,                0.83187,                0.88535,                0.67636,                0.90543,                0.75347,                  1.083,               0.009901,               0.009901,               0.009901
                      6,                0.90829,                0.77306,                 1.0612,                0.91731,                0.88828,                0.93998,                0.75969,                0.74614,                 0.6198,                 1.0035,               0.009868,               0.009868,               0.009868
                      7,                0.86552,                0.71847,                 1.0531,                 0.9333,                0.87097,                0.94176,                0.76731,                0.73019,                0.61845,                 1.0278,               0.009835,               0.009835,               0.009835
                      8,                0.84449,                0.69678,                 1.0564,                0.96403,                0.91674,                0.97605,                0.77614,                0.77929,                0.55754,                0.99681,               0.009802,               0.009802,               0.009802
                      9,                0.81478,                 0.6575,                 1.0318,                0.94199,                0.93017,                0.96806,                0.81235,                0.66945,                0.52684,                0.97126,               0.009769,               0.009769,               0.009769
                     10,                0.79412,                0.63213,                 1.0225,                0.95531,                0.94204,                0.98061,                0.82642,                0.64509,                0.50254,                0.95213,               0.009736,               0.009736,               0.009736
                     11,                0.79247,                0.63432,                 1.0204,                0.92174,                0.94555,                0.97903,                 0.8266,                 0.6457,                0.50717,                0.94955,               0.009703,               0.009703,               0.009703
                     12,                 0.7706,                0.59304,                 1.0093,                0.94781,                0.95933,                0.98085,                0.84025,                0.60572,                 0.4739,                0.92665,                0.00967,                0.00967,                0.00967
                     13,                0.74152,                0.55849,                0.99386,                0.96258,                0.95782,                0.98482,                0.84243,                0.59624,                 0.4484,                0.91828,               0.009637,               0.009637,               0.009637
                     14,                0.71378,                0.54527,                 0.9861,                0.94293,                0.92824,                0.95613,                 0.8199,                0.61562,                0.46975,                0.93933,               0.009604,               0.009604,               0.009604
                     15,                0.71654,                0.53771,                0.98347,                0.95225,                0.95916,                 0.9849,                0.84559,                0.60143,                0.43873,                0.92744,               0.009571,               0.009571,               0.009571
                     16,                0.69463,                 0.5383,                0.97321,                0.95709,                0.96678,                0.98839,                0.84661,                0.58473,                0.42894,                0.92447,               0.009538,               0.009538,               0.009538
                     17,                0.67682,                0.51529,                0.96221,                0.94637,                 0.9616,                0.98397,                0.85704,                 0.5737,                 0.4259,                0.91454,               0.009505,               0.009505,               0.009505
                     18,                0.66196,                0.49985,                0.95494,                0.94955,                0.97344,                0.98758,                0.86343,                0.55134,                0.41887,                0.90501,               0.009472,               0.009472,               0.009472
                     19,                0.65516,                0.48502,                0.95199,                0.96296,                0.94459,                0.98554,                0.86295,                0.56084,                0.42739,                0.90459,               0.009439,               0.009439,               0.009439
                     20,                 0.6421,                 0.4897,                0.95479,                0.97498,                0.96365,                 0.9898,                0.86636,                0.54997,                0.40188,                0.89597,               0.009406,               0.009406,               0.009406
                     21,                0.63233,                0.47561,                0.94427,                0.96335,                0.97557,                0.98922,                0.87092,                0.53541,                0.38252,                 0.9003,               0.009373,               0.009373,               0.009373
                     22,                0.62463,                0.46127,                0.94727,                0.96857,                0.95927,                 0.9892,                0.87667,                0.53107,                0.38405,                0.89042,                0.00934,                0.00934,                0.00934
                     23,                0.62354,                0.45814,                0.93721,                0.97183,                0.96779,                0.98908,                0.87435,                0.52109,                0.38577,                0.88923,               0.009307,               0.009307,               0.009307
                     24,                0.61693,                0.46258,                0.94787,                0.96302,                0.95574,                0.98786,                0.88276,                0.51654,                0.38726,                0.88135,               0.009274,               0.009274,               0.009274
                     25,                 0.6191,                0.45823,                0.93444,                0.95754,                0.97024,                0.98982,                0.87493,                0.52804,                0.39585,                0.89529,               0.009241,               0.009241,               0.009241
                     26,                0.60025,                0.43649,                0.93768,                0.96645,                0.98163,                0.99116,                0.89285,                0.48759,                0.36676,                0.86859,               0.009208,               0.009208,               0.009208
                     27,                0.60228,                0.44842,                0.93129,                0.96639,                0.97621,                0.98819,                0.89276,                0.48518,                0.36472,                 0.8774,               0.009175,               0.009175,               0.009175
                     28,                0.60122,                0.45458,                0.92916,                0.95412,                0.96754,                0.98658,                0.88022,                0.49143,                0.38594,                 0.8743,               0.009142,               0.009142,               0.009142
                     29,                0.58345,                0.42691,                0.92228,                0.97615,                0.97199,                0.99109,                0.89658,                0.49886,                0.34717,                0.87961,               0.009109,               0.009109,               0.009109
                     30,                 0.5933,                0.42355,                0.93123,                0.98322,                 0.9632,                 0.9922,                0.89326,                0.48107,                  0.353,                0.87177,               0.009076,               0.009076,               0.009076
                     31,                0.57665,                0.42383,                 0.9159,                0.96497,                 0.9787,                0.99081,                 0.8911,                0.49512,                0.37051,                0.87063,               0.009043,               0.009043,               0.009043
                     32,                0.56773,                0.40917,                0.92187,                 0.9696,                0.98033,                0.98994,                0.89315,                0.47572,                0.34328,                0.87045,                0.00901,                0.00901,                0.00901
                     33,                0.58629,                0.42319,                0.92475,                0.97826,                0.98048,                 0.9903,                0.89129,                0.48749,                0.36334,                0.86568,               0.008977,               0.008977,               0.008977
                     34,                 0.5642,                0.40945,                0.91084,                0.97503,                0.97093,                0.98932,                 0.9001,                0.46902,                0.34093,                  0.861,               0.008944,               0.008944,               0.008944
                     35,                0.56474,                0.41064,                0.92014,                0.97067,                0.97899,                0.99178,                0.89748,                0.48257,                0.34484,                0.86675,               0.008911,               0.008911,               0.008911
                     36,                0.56575,                0.40364,                0.91625,                0.97001,                0.97824,                0.99192,                0.90721,                0.46495,                 0.3496,                0.85979,               0.008878,               0.008878,               0.008878
                     37,                0.55535,                0.39262,                0.91229,                0.96147,                0.98519,                0.98841,                0.89932,                0.45671,                0.34649,                0.85447,               0.008845,               0.008845,               0.008845
                     38,                0.55064,                0.40138,                0.90841,                0.97836,                 0.9775,                0.99214,                0.90541,                0.46433,                0.32906,                0.86084,               0.008812,               0.008812,               0.008812
                     39,                0.54433,                0.38578,                0.90302,                0.96498,                0.97872,                 0.9904,                0.89831,                 0.4666,                0.33808,                0.86426,               0.008779,               0.008779,               0.008779
                     40,                 0.5425,                0.38342,                0.90993,                0.98026,                0.96906,                0.99172,                0.90357,                0.45016,                0.33285,                0.85342,               0.008746,               0.008746,               0.008746
                     41,                0.53005,                0.37099,                0.90761,                 0.9752,                0.97526,                0.99049,                0.90495,                0.46339,                0.32798,                 0.8561,               0.008713,               0.008713,               0.008713
                     42,                0.53282,                0.37906,                0.90256,                0.96936,                0.98211,                0.99119,                0.90975,                0.45953,                0.33121,                0.85527,                0.00868,                0.00868,                0.00868
                     43,                0.53177,                0.37296,                0.89707,                0.96896,                0.97377,                 0.9914,                0.90724,                0.44825,                0.31486,                0.85296,               0.008647,               0.008647,               0.008647
                     44,                0.52721,                0.36676,                0.89397,                0.97937,                 0.9824,                  0.991,                0.90538,                0.45029,                0.32379,                0.85057,               0.008614,               0.008614,               0.008614
                     45,                0.51884,                0.36989,                0.89228,                0.97894,                0.97601,                0.99137,                0.91487,                0.44348,                0.31648,                0.84761,               0.008581,               0.008581,               0.008581
