                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84074,                 1.7337,                 1.0316,                0.86243,                0.84868,                 0.9199,                 0.7718,                0.63905,                0.61183,                0.92488,              0.0033297,              0.0033297,              0.0033297
                      2,                0.75549,                0.66939,                0.98849,                0.92064,                0.90069,                0.94218,                 0.7681,                0.70284,                0.60913,                0.94147,               0.006641,               0.006641,               0.006641
                      3,                 0.8567,                0.77432,                 1.0094,                0.90355,                0.85474,                0.94928,                0.75656,                0.77656,                0.72907,                0.99939,              0.0099304,              0.0099304,              0.0099304
                      4,                0.92197,                0.80938,                 1.0631,                0.92586,                0.87962,                0.94813,                0.74885,                0.77743,                0.68431,                  1.018,               0.009901,               0.009901,               0.009901
                      5,                0.90364,                0.78496,                 1.0634,                0.91296,                0.86769,                 0.9229,                0.72666,                0.80486,                0.69993,                 1.0438,               0.009901,               0.009901,               0.009901
                      6,                0.87903,                0.73952,                 1.0422,                0.91577,                0.93488,                0.96687,                0.78351,                0.73114,                 0.5972,                0.98603,               0.009868,               0.009868,               0.009868
                      7,                0.84783,                0.69619,                   1.03,                  0.912,                0.89172,                0.95172,                0.76339,                0.70138,                 0.5781,                 0.9841,               0.009835,               0.009835,               0.009835
                      8,                0.83675,                0.68826,                 1.0294,                0.93551,                0.92623,                0.97644,                0.81354,                0.67906,                0.51806,                0.97525,               0.009802,               0.009802,               0.009802
                      9,                0.80646,                0.62658,                 1.0196,                0.92284,                0.94857,                0.96707,                 0.7957,                0.70054,                0.55655,                0.98446,               0.009769,               0.009769,               0.009769
                     10,                0.77922,                0.60585,                 1.0047,                 0.9505,                 0.9499,                0.98194,                0.82484,                0.65867,                0.50486,                0.95199,               0.009736,               0.009736,               0.009736
                     11,                0.77403,                0.62642,                  1.005,                0.94394,                0.95518,                0.97659,                0.82392,                0.65262,                0.50594,                0.95855,               0.009703,               0.009703,               0.009703
                     12,                0.76484,                0.59959,                0.99598,                0.94588,                0.96129,                0.98668,                0.84207,                0.60003,                0.46839,                0.93357,                0.00967,                0.00967,                0.00967
                     13,                0.73278,                0.54551,                0.97796,                0.95076,                0.96172,                0.98598,                0.85319,                0.60127,                0.44841,                 0.9142,               0.009637,               0.009637,               0.009637
                     14,                0.71061,                0.54492,                0.97265,                0.95061,                0.94574,                0.98509,                0.84796,                0.58545,                 0.4466,                0.91446,               0.009604,               0.009604,               0.009604
                     15,                0.70975,                0.53487,                0.96899,                 0.9557,                0.97231,                0.98717,                0.82655,                0.61218,                0.45123,                0.94263,               0.009571,               0.009571,               0.009571
                     16,                0.69425,                0.53984,                0.95993,                0.93959,                0.97021,                0.98575,                0.85824,                0.57899,                0.42484,                0.91035,               0.009538,               0.009538,               0.009538
                     17,                0.67776,                0.51704,                0.95921,                 0.9315,                0.96241,                 0.9809,                0.84872,                0.57904,                0.43895,                 0.9242,               0.009505,               0.009505,               0.009505
                     18,                0.66839,                0.49991,                0.95123,                0.96748,                0.96176,                0.98859,                0.87447,                0.53877,                 0.4076,                0.88812,               0.009472,               0.009472,               0.009472
                     19,                0.65478,                0.48838,                0.94162,                0.95834,                0.96445,                0.98867,                0.86159,                0.56207,                0.42143,                0.89737,               0.009439,               0.009439,               0.009439
                     20,                0.64652,                0.49697,                0.94919,                0.95055,                0.96425,                0.98587,                0.86046,                0.54335,                0.41952,                0.91258,               0.009406,               0.009406,               0.009406
                     21,                0.63129,                0.47296,                0.93833,                0.97079,                 0.9694,                0.98962,                0.87036,                 0.5417,                0.39561,                0.89912,               0.009373,               0.009373,               0.009373
                     22,                0.62244,                0.45808,                0.93526,                0.95498,                0.97886,                0.99004,                0.88333,                0.53151,                0.39212,                0.88546,                0.00934,                0.00934,                0.00934
