                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0135,                 3.3831,                 1.0801,                0.84869,                 0.8585,                0.92462,                0.71103,                0.83181,                 1.8765,                 1.0293,             0.00055405,             0.00055405,             0.00055405
                      2,                0.93406,                 1.5995,                  1.043,                0.88783,                0.89757,                0.93503,                0.67754,                0.89383,                0.99834,                 1.0722,              0.0011042,              0.0011042,              0.0011042
                      3,                0.89881,                 1.0261,                 1.0314,                 0.9056,                0.85223,                0.92095,                0.72513,                0.80219,                0.80047,                  1.017,              0.0016489,              0.0016489,              0.0016489
                      4,                0.88004,                0.83236,                 1.0191,                0.87659,                0.82858,                0.90983,                0.71356,                0.81036,                  0.725,                 1.0215,              0.0016422,              0.0016422,              0.0016422
                      5,                0.82923,                  0.739,                 1.0018,                0.94767,                0.92917,                0.97403,                0.79484,                 0.7396,                0.57045,                0.95376,              0.0016422,              0.0016422,              0.0016422
                      6,                0.77454,                0.65275,                0.97677,                0.90372,                0.95716,                 0.9825,                0.79813,                0.73483,                0.62722,                0.95774,               0.001634,               0.001634,               0.001634
                      7,                0.77753,                0.65403,                0.97414,                0.95538,                0.93152,                0.97293,                0.80195,                0.69595,                0.55516,                0.95802,              0.0016257,              0.0016257,              0.0016257
                      8,                0.74497,                0.60725,                0.96179,                 0.9458,                0.94679,                0.98348,                0.81721,                  0.674,                0.50245,                0.95348,              0.0016175,              0.0016175,              0.0016175
                      9,                0.72754,                0.57718,                0.95242,                0.93288,                0.95862,                0.98077,                 0.8366,                0.63302,                0.50174,                 0.9194,              0.0016092,              0.0016092,              0.0016092
                     10,                 0.7153,                0.55813,                0.94971,                 0.9655,                0.95158,                0.99012,                0.84126,                0.62892,                0.46988,                0.92113,               0.001601,               0.001601,               0.001601
                     11,                0.69445,                0.54938,                0.93978,                0.94278,                0.94987,                0.98467,                0.83297,                0.65117,                0.48227,                0.91521,              0.0015927,              0.0015927,              0.0015927
                     12,                0.68986,                0.53354,                0.94416,                 0.9677,                0.95474,                0.98591,                0.84495,                0.59363,                 0.4701,                0.90059,              0.0015845,              0.0015845,              0.0015845
                     13,                0.67882,                0.52724,                0.93672,                0.93546,                0.95692,                0.98731,                 0.8415,                 0.6139,                0.46082,                0.91115,              0.0015762,              0.0015762,              0.0015762
                     14,                0.67837,                0.51409,                0.94349,                0.95637,                0.95653,                0.98779,                0.84831,                0.59003,                0.45231,                0.90536,               0.001568,               0.001568,               0.001568
                     15,                0.65608,                  0.498,                0.92233,                0.96089,                0.94279,                0.98733,                 0.8498,                0.57988,                0.45053,                0.90483,              0.0015597,              0.0015597,              0.0015597
