                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97297,                 2.2014,                 1.0818,                0.86346,                 0.7805,                0.83621,                0.61656,                0.96041,                0.88699,                 1.1421,             0.00055405,             0.00055405,             0.00055405
                      2,                0.92944,                0.85208,                 1.0571,                0.82695,                0.79969,                0.88184,                 0.6683,                 0.8886,                0.91457,                 1.0962,              0.0011042,              0.0011042,              0.0011042
                      3,                0.89471,                0.78203,                 1.0411,                 0.9149,                0.89663,                0.96073,                0.74237,                0.82656,                0.77058,                 1.0364,              0.0016489,              0.0016489,              0.0016489
                      4,                 0.8613,                0.71636,                  1.023,                0.92157,                0.87988,                0.94572,                0.73986,                0.78196,                0.63292,                 1.0308,              0.0016422,              0.0016422,              0.0016422
                      5,                0.82714,                0.67438,                 1.0125,                0.93971,                0.86798,                0.93146,                0.74692,                0.74661,                0.74659,                 1.0386,              0.0016422,              0.0016422,              0.0016422
                      6,                0.77251,                0.61732,                0.99368,                0.89765,                0.92489,                0.97614,                0.80585,                0.64804,                0.52795,                0.95744,               0.001634,               0.001634,               0.001634
                      7,                0.74889,                0.60072,                0.98007,                0.94701,                0.92274,                0.97426,                0.81921,                   0.64,                0.51493,                 0.9348,              0.0016257,              0.0016257,              0.0016257
                      8,                0.72166,                0.56385,                 0.9652,                0.94372,                0.92054,                 0.9799,                0.81422,                0.66183,                0.51215,                0.94044,              0.0016175,              0.0016175,              0.0016175
                      9,                0.70207,                0.54044,                0.95437,                0.95753,                0.94482,                0.98704,                0.84222,                0.62067,                0.48409,                0.91757,              0.0016092,              0.0016092,              0.0016092
                     10,                0.69014,                0.53492,                0.94855,                0.96204,                 0.9391,                0.98649,                0.82838,                0.65383,                0.48667,                0.94253,               0.001601,               0.001601,               0.001601
                     11,                0.67648,                0.52267,                0.94213,                0.96003,                0.96435,                 0.9896,                0.83839,                0.63567,                0.45499,                0.91786,              0.0015927,              0.0015927,              0.0015927
                     12,                0.66174,                0.50351,                0.94962,                0.96986,                 0.9512,                0.98892,                0.84936,                0.60466,                0.44124,                0.91907,              0.0015845,              0.0015845,              0.0015845
                     13,                0.67409,                0.51328,                0.94652,                 0.9481,                0.95027,                0.98865,                0.85129,                0.60156,                0.44314,                0.92024,              0.0015762,              0.0015762,              0.0015762
                     14,                0.64875,                0.49199,                0.94283,                0.95148,                0.97291,                0.98785,                0.85029,                 0.5808,                0.43817,                0.91036,               0.001568,               0.001568,               0.001568
                     15,                0.63709,                0.47531,                0.92835,                0.95037,                0.96489,                0.98903,                0.85939,                0.57273,                0.42563,                0.90095,              0.0015597,              0.0015597,              0.0015597
                     16,                0.61389,                0.45698,                  0.919,                0.96459,                0.95031,                0.98894,                0.85901,                0.55563,                0.40842,                0.89687,              0.0015515,              0.0015515,              0.0015515
                     17,                0.61688,                0.46308,                0.91955,                0.95108,                0.96227,                0.98887,                0.85608,                0.58102,                 0.4213,                 0.8988,              0.0015432,              0.0015432,              0.0015432
                     18,                0.61609,                0.45768,                0.91416,                0.94941,                0.97766,                0.98926,                  0.866,                0.56091,                0.41525,                0.88531,               0.001535,               0.001535,               0.001535
                     19,                0.60932,                0.45347,                0.92005,                0.96949,                0.97173,                0.99017,                0.87215,                 0.5307,                 0.3835,                0.88193,              0.0015267,              0.0015267,              0.0015267
                     20,                0.60204,                0.44887,                0.91384,                 0.9556,                0.97449,                0.98946,                0.86786,                0.53327,                0.39655,                0.89037,              0.0015185,              0.0015185,              0.0015185
                     21,                0.59079,                0.43064,                0.91095,                0.95431,                0.96259,                0.98814,                0.86053,                 0.5563,                0.40904,                 0.8896,              0.0015102,              0.0015102,              0.0015102
                     22,                0.58864,                0.43843,                0.91173,                 0.9786,                0.96595,                 0.9911,                0.88852,                0.50349,                0.38593,                0.86294,               0.001502,               0.001502,               0.001502
                     23,                0.58448,                0.42549,                0.90308,                0.97554,                 0.9695,                0.99158,                0.88755,                0.51198,                0.36906,                0.86914,              0.0014937,              0.0014937,              0.0014937
                     24,                0.56661,                0.41074,                0.89892,                0.96229,                0.95406,                0.98948,                0.89094,                0.50349,                0.38817,                0.86137,              0.0014855,              0.0014855,              0.0014855
                     25,                0.56602,                0.41631,                0.89342,                0.96189,                0.96918,                0.99057,                0.87815,                0.51319,                 0.3789,                0.86934,              0.0014772,              0.0014772,              0.0014772
                     26,                  0.569,                0.41585,                0.89875,                0.98313,                0.96764,                 0.9918,                0.90029,                0.48644,                0.35037,                0.85783,               0.001469,               0.001469,               0.001469
