                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77706,                 1.5357,                 1.0294,                0.91733,                0.91861,                 0.9662,                 0.8195,                 0.6232,                0.51297,                0.91604,              0.0033309,              0.0033309,              0.0033309
                      2,                0.74013,                0.70467,                0.99516,                0.91784,                0.88373,                0.94436,                0.76725,                0.72886,                0.62518,                0.95046,              0.0066422,              0.0066422,              0.0066422
                      3,                0.83943,                0.86548,                 1.0334,                0.80346,                0.76463,                0.84357,                0.65825,                0.85252,                0.88756,                 1.0697,              0.0099316,              0.0099316,              0.0099316
                      4,                0.94886,                0.96415,                 1.0892,                0.80061,                0.75009,                0.82028,                0.61161,                 0.8829,                0.95213,                 1.1354,               0.009901,               0.009901,               0.009901
                      5,                 0.9619,                0.91868,                 1.1023,                0.90682,                0.87261,                0.93772,                0.73586,                0.80757,                0.66674,                 1.0696,               0.009901,               0.009901,               0.009901
                      6,                0.95256,                0.84312,                 1.0938,                0.88847,                0.83249,                0.89623,                0.70353,                0.81593,                0.71395,                 1.0794,               0.009868,               0.009868,               0.009868
                      7,                0.90858,                 0.8681,                 1.0769,                0.85204,                0.81812,                0.86497,                0.67862,                0.84645,                0.80806,                 1.0836,               0.009835,               0.009835,               0.009835
                      8,                0.88239,                0.76945,                   1.07,                0.94422,                0.90733,                0.96397,                0.78282,                0.70101,                0.55127,                0.99791,               0.009802,               0.009802,               0.009802
                      9,                0.85388,                0.72187,                 1.0614,                0.93915,                0.92241,                0.96868,                0.79515,                0.68801,                0.55254,                0.97512,               0.009769,               0.009769,               0.009769
                     10,                0.80895,                0.66229,                 1.0294,                0.92925,                0.89951,                0.94466,                0.77204,                0.69789,                0.58988,                 1.0077,               0.009736,               0.009736,               0.009736
                     11,                0.79821,                0.68716,                 1.0399,                0.93349,                0.94744,                0.97642,                0.80513,                0.67604,                0.52513,                0.97046,               0.009703,               0.009703,               0.009703
                     12,                0.79151,                0.65483,                 1.0269,                0.92376,                0.95414,                 0.9734,                0.80489,                0.67094,                0.52628,                0.96491,                0.00967,                0.00967,                0.00967
                     13,                0.77793,                0.66282,                 1.0253,                0.92983,                0.94386,                0.98187,                0.82545,                0.64961,                0.50838,                0.94302,               0.009637,               0.009637,               0.009637
                     14,                0.73993,                0.61815,                 1.0093,                0.95782,                0.93027,                0.97101,                0.81133,                0.66986,                0.52416,                0.95142,               0.009604,               0.009604,               0.009604
                     15,                0.72747,                 0.5834,                0.99522,                0.95602,                0.92645,                 0.9709,                0.83056,                0.61998,                0.48414,                0.94305,               0.009571,               0.009571,               0.009571
                     16,                 0.7204,                0.56332,                 1.0039,                0.94832,                0.93493,                0.97439,                 0.8329,                 0.6067,                0.47964,                0.94616,               0.009538,               0.009538,               0.009538
                     17,                0.72549,                0.57502,                 1.0063,                0.95997,                0.95084,                0.98235,                0.84493,                0.59721,                0.48157,                0.92761,               0.009505,               0.009505,               0.009505
                     18,                0.71365,                0.58472,                0.99456,                0.94853,                0.95129,                0.98035,                 0.8399,                0.59294,                0.44584,                0.94537,               0.009472,               0.009472,               0.009472
                     19,                0.68815,                0.52859,                0.97468,                0.94938,                0.95072,                0.98083,                 0.8437,                0.60013,                0.46206,                0.92781,               0.009439,               0.009439,               0.009439
                     20,                0.67567,                 0.5119,                0.97571,                0.96325,                0.96798,                0.99004,                0.86123,                0.58057,                0.42331,                 0.9185,               0.009406,               0.009406,               0.009406
                     21,                0.69001,                0.53939,                0.98202,                0.96219,                0.95014,                0.97883,                0.84342,                0.56092,                0.45364,                0.90775,               0.009373,               0.009373,               0.009373
                     22,                0.66745,                0.52517,                0.97239,                0.97942,                0.95442,                 0.9892,                 0.8644,                0.55346,                0.42596,                0.90973,                0.00934,                0.00934,                0.00934
                     23,                0.65619,                0.50131,                0.96274,                 0.9305,                0.97797,                0.98858,                0.87598,                0.53571,                  0.406,                0.89719,               0.009307,               0.009307,               0.009307
                     24,                0.65544,                0.50048,                0.96589,                0.96562,                0.96403,                0.98785,                0.87361,                0.53174,                0.40498,                0.89147,               0.009274,               0.009274,               0.009274
                     25,                0.64032,                0.50957,                0.95347,                0.94037,                0.95605,                0.98562,                0.86388,                0.56194,                0.42985,                0.90053,               0.009241,               0.009241,               0.009241
                     26,                0.62478,                0.49141,                0.94856,                0.93999,                0.94912,                0.97496,                0.85422,                0.54983,                0.41047,                0.90786,               0.009208,               0.009208,               0.009208
                     27,                0.63346,                 0.4862,                0.95025,                0.93161,                0.96583,                 0.9808,                0.86352,                0.53632,                 0.3997,                0.90084,               0.009175,               0.009175,               0.009175
                     28,                0.61959,                0.46195,                0.95287,                0.94645,                0.95843,                0.97672,                0.86944,                0.52818,                0.40643,                0.89663,               0.009142,               0.009142,               0.009142
                     29,                0.59795,                0.45654,                0.93341,                0.96985,                0.97139,                 0.9889,                0.87967,                0.53352,                0.38811,                0.88642,               0.009109,               0.009109,               0.009109
                     30,                0.60594,                0.48482,                0.93923,                0.95924,                0.96671,                0.98793,                 0.8723,                0.52626,                0.38676,                0.89161,               0.009076,               0.009076,               0.009076
                     31,                0.59566,                 0.4505,                0.93834,                 0.9655,                0.96371,                0.98712,                0.88597,                 0.5009,                0.36701,                0.87789,               0.009043,               0.009043,               0.009043
                     32,                0.60414,                0.46507,                0.94754,                0.96477,                0.97661,                0.98939,                0.87681,                0.51746,                0.37343,                0.88971,                0.00901,                0.00901,                0.00901
                     33,                0.61091,                0.45981,                0.94752,                0.96517,                0.96547,                0.98833,                0.87858,                0.50062,                0.37256,                0.88407,               0.008977,               0.008977,               0.008977
                     34,                0.58526,                0.45113,                0.92224,                0.95734,                0.97812,                0.99011,                0.89351,                0.48877,                0.35713,                0.87726,               0.008944,               0.008944,               0.008944
                     35,                0.57356,                0.43291,                 0.9247,                0.96974,                0.96465,                0.99067,                0.89287,                0.48632,                0.35771,                0.87532,               0.008911,               0.008911,               0.008911
                     36,                0.58597,                0.44323,                 0.9382,                0.97555,                0.95252,                0.98618,                0.87961,                0.49579,                0.37108,                0.89083,               0.008878,               0.008878,               0.008878
                     37,                0.59217,                0.43406,                0.93679,                 0.9628,                0.96033,                0.98386,                0.87554,                0.49961,                0.36841,                0.87869,               0.008845,               0.008845,               0.008845
