                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.209,                 3.1145,                 1.1361,                0.68107,                0.63261,                0.69061,                0.56422,                0.79713,                 1.4853,                0.96547,             8.5801e-05,             8.5801e-05,             8.5801e-05
                      2,                0.81671,                0.75227,                0.93183,                0.90011,                0.88324,                0.95014,                0.80706,                0.68204,                0.76238,                0.94118,             0.00017261,             0.00017261,             0.00017261
                      3,                0.78717,                0.59049,                0.92624,                0.93776,                0.90334,                0.96871,                0.83145,                0.65328,                0.64111,                0.93531,             0.00025855,             0.00025855,             0.00025855
                      4,                0.76119,                0.54136,                0.91637,                0.95151,                0.90347,                0.97283,                0.83794,                0.63671,                0.60204,                0.92507,             0.00025909,             0.00025909,             0.00025909
                      5,                0.74611,                0.50649,                 0.9173,                0.94656,                0.91534,                0.96682,                0.82207,                0.68331,                0.59411,                0.94701,             0.00025909,             0.00025909,             0.00025909
                      6,                0.73965,                0.47262,                0.91584,                0.94786,                0.92344,                0.97235,                 0.8175,                 0.7107,                0.59031,                0.97709,             0.00025779,             0.00025779,             0.00025779
                      7,                0.72343,                0.45776,                0.91506,                 0.9443,                0.91751,                0.97108,                0.82144,                0.65812,                0.57104,                0.94819,             0.00025649,             0.00025649,             0.00025649
                      8,                0.71675,                 0.4437,                0.91103,                0.96805,                0.92272,                 0.9774,                0.81324,                0.72231,                0.53383,                0.97631,             0.00025519,             0.00025519,             0.00025519
                      9,                0.70394,                0.41972,                 0.9092,                0.97289,                0.91303,                0.97715,                0.84492,                0.62589,                0.53682,                0.93612,             0.00025389,             0.00025389,             0.00025389
                     10,                0.70583,                0.41738,                 0.9092,                 0.9801,                0.93425,                 0.9815,                0.84483,                0.63123,                 0.4623,                0.94043,             0.00025259,             0.00025259,             0.00025259
                     11,                0.69434,                0.41171,                0.90739,                 0.9737,                0.93061,                0.97674,                0.83849,                0.65295,                0.51125,                0.95392,             0.00025128,             0.00025128,             0.00025128
                     12,                0.69122,                0.41513,                0.90944,                0.97331,                0.93981,                0.98065,                0.84892,                0.63487,                0.50756,                0.94584,             0.00024998,             0.00024998,             0.00024998
                     13,                0.68348,                0.39807,                0.89959,                0.97032,                0.94407,                0.98083,                 0.8297,                0.68898,                0.45948,                0.96247,             0.00024868,             0.00024868,             0.00024868
                     14,                0.67859,                0.39817,                0.90497,                0.96693,                0.95377,                0.98285,                0.84557,                0.63855,                0.45107,                0.95035,             0.00024738,             0.00024738,             0.00024738
                     15,                0.66314,                0.38753,                 0.8998,                 0.9782,                0.93792,                0.97711,                 0.8341,                0.67408,                0.51556,                0.96645,             0.00024608,             0.00024608,             0.00024608
                     16,                0.67238,                0.39167,                0.90426,                0.97639,                0.94767,                0.98161,                0.84196,                0.64703,                0.48635,                0.95148,             0.00024477,             0.00024477,             0.00024477
                     17,                0.66842,                0.38085,                0.89794,                 0.9758,                0.94356,                0.98096,                0.84908,                0.64609,                0.47121,                 0.9452,             0.00024347,             0.00024347,             0.00024347
                     18,                 0.6449,                 0.3691,                0.89491,                0.98157,                0.93695,                0.97968,                0.84699,                0.63812,                0.45463,                 0.9478,             0.00024217,             0.00024217,             0.00024217
                     19,                0.65366,                0.37015,                0.89179,                0.96272,                0.94388,                0.97772,                 0.8374,                0.68045,                0.49725,                0.96707,             0.00024087,             0.00024087,             0.00024087
                     20,                0.65066,                0.36871,                 0.8953,                 0.9615,                0.93061,                0.97647,                 0.8454,                0.64582,                0.52759,                0.94616,             0.00023957,             0.00023957,             0.00023957
                     21,                0.63653,                0.35837,                0.89233,                0.96932,                0.93523,                0.97654,                0.82263,                 0.6984,                0.48629,                0.97354,             0.00023826,             0.00023826,             0.00023826
                     22,                0.63941,                0.36221,                0.89517,                0.97131,                0.93173,                 0.9754,                0.83522,                0.66788,                0.47878,                0.96467,             0.00023696,             0.00023696,             0.00023696
                     23,                0.62656,                0.35733,                0.88699,                0.97333,                0.93713,                0.97832,                0.83068,                0.67715,                 0.4477,                0.96309,             0.00023566,             0.00023566,             0.00023566
                     24,                0.61978,                0.34988,                0.88611,                0.96422,                0.93735,                0.97932,                0.84123,                0.65494,                0.46614,                 0.9554,             0.00023436,             0.00023436,             0.00023436
                     25,                0.61897,                0.35127,                0.89147,                0.98007,                  0.935,                0.98302,                 0.8444,                0.66195,                0.43509,                0.96038,             0.00023306,             0.00023306,             0.00023306
                     26,                0.61058,                0.34122,                0.88142,                0.97277,                0.94188,                0.98412,                0.84472,                 0.6569,                 0.4215,                0.95601,             0.00023176,             0.00023176,             0.00023176
                     27,                0.60668,                0.34117,                0.88061,                0.97643,                0.94352,                0.98035,                0.83433,                0.68012,                0.42541,                0.96553,             0.00023045,             0.00023045,             0.00023045
                     28,                 0.6044,                0.34038,                0.88269,                0.96947,                0.93944,                0.98155,                0.84477,                0.65243,                0.45664,                 0.9582,             0.00022915,             0.00022915,             0.00022915
