                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.365,                 4.9135,                 1.1752,                0.02056,                0.00907,                0.01213,                 0.0082,                0.87206,                 4.4008,                0.88406,             8.5801e-05,             8.5801e-05,             8.5801e-05
                      2,                0.97594,                 3.7481,                0.92113,                0.04742,                 0.6697,                0.12492,                0.09973,                0.85599,                 3.8683,                0.90974,             0.00017261,             0.00017261,             0.00017261
                      3,                0.94443,                 2.5702,                0.92996,                 0.4192,                  0.429,                0.38964,                0.31624,                0.83925,                  2.174,                0.93951,             0.00025855,             0.00025855,             0.00025855
                      4,                0.91231,                 1.6588,                0.92892,                0.53269,                0.65181,                0.63998,                0.52118,                0.84181,                 1.4954,                0.94321,             0.00025909,             0.00025909,             0.00025909
                      5,                0.87478,                 1.2776,                0.92041,                0.71157,                0.73829,                 0.7945,                0.64726,                0.80695,                 1.2488,                0.94352,             0.00025909,             0.00025909,             0.00025909
                      6,                 0.8644,                 1.0425,                0.91675,                0.76194,                0.81381,                0.84875,                0.68717,                0.81031,                 1.0589,                 0.9412,             0.00025779,             0.00025779,             0.00025779
                      7,                0.83492,                0.90009,                0.91208,                 0.8378,                0.85513,                0.89442,                0.73589,                0.74693,                0.88275,                 0.9196,             0.00025649,             0.00025649,             0.00025649
                      8,                0.81566,                0.82002,                0.90621,                0.86269,                0.85099,                0.92502,                0.76485,                0.72645,                0.82188,                0.91921,             0.00025519,             0.00025519,             0.00025519
                      9,                 0.8126,                0.76486,                0.90423,                0.91159,                0.87401,                0.94149,                0.78205,                0.71466,                0.76306,                0.91414,             0.00025389,             0.00025389,             0.00025389
                     10,                  0.803,                0.72688,                0.90109,                0.93187,                0.89325,                0.95793,                0.80429,                0.69591,                0.81121,                0.91225,             0.00025259,             0.00025259,             0.00025259
                     11,                0.79413,                0.70516,                0.90007,                0.95085,                0.91045,                0.96682,                0.80055,                0.71009,                0.69409,                0.91582,             0.00025128,             0.00025128,             0.00025128
                     12,                0.79896,                0.69461,                0.90337,                0.94083,                 0.9077,                0.96435,                 0.8016,                0.70875,                0.70251,                0.90774,             0.00024998,             0.00024998,             0.00024998
                     13,                 0.7821,                0.65577,                0.89412,                0.95225,                0.92409,                0.97249,                0.81426,                 0.6862,                 0.6537,                0.90583,             0.00024868,             0.00024868,             0.00024868
                     14,                0.77564,                0.65466,                0.89802,                0.94526,                0.92131,                 0.9728,                0.81209,                0.69063,                0.65985,                0.89995,             0.00024738,             0.00024738,             0.00024738
                     15,                0.76779,                0.63052,                0.89538,                0.94939,                0.93103,                0.97217,                0.81603,                0.67768,                0.67827,                0.90627,             0.00024608,             0.00024608,             0.00024608
                     16,                0.77381,                0.63046,                0.89932,                0.95411,                0.92324,                0.97205,                0.82261,                 0.6747,                0.64032,                0.90573,             0.00024477,             0.00024477,             0.00024477
                     17,                0.76645,                0.61911,                0.89421,                  0.954,                0.90682,                0.96998,                0.81372,                0.71024,                0.68809,                0.91345,             0.00024347,             0.00024347,             0.00024347
                     18,                0.75275,                0.60533,                0.89231,                0.94448,                0.93108,                0.97022,                0.82317,                0.66269,                0.69525,                 0.9009,             0.00024217,             0.00024217,             0.00024217
                     19,                0.76019,                0.60708,                0.88928,                0.96667,                0.91757,                0.97308,                0.81955,                 0.6769,                0.63873,                0.90328,             0.00024087,             0.00024087,             0.00024087
                     20,                0.75969,                0.59965,                0.89078,                0.97173,                0.92134,                0.97562,                0.83346,                0.65185,                 0.6202,                0.89197,             0.00023957,             0.00023957,             0.00023957
                     21,                0.75376,                0.57989,                 0.8919,                0.96826,                0.91947,                0.97402,                0.82067,                0.68095,                0.62733,                0.90152,             0.00023826,             0.00023826,             0.00023826
                     22,                0.74672,                0.57869,                0.89291,                0.94375,                0.93738,                0.97815,                0.82353,                0.68317,                0.59401,                0.90052,             0.00023696,             0.00023696,             0.00023696
                     23,                0.74862,                0.58075,                0.88713,                0.96711,                0.93157,                0.97858,                0.81033,                0.72551,                0.61014,                0.91971,             0.00023566,             0.00023566,             0.00023566
                     24,                0.73875,                0.56841,                0.88925,                0.96655,                0.93959,                0.98102,                0.82456,                0.67648,                0.60418,                0.90231,             0.00023436,             0.00023436,             0.00023436
                     25,                0.74101,                0.56686,                0.89155,                0.96461,                0.93764,                0.97948,                0.83259,                  0.665,                0.58111,                0.90078,             0.00023306,             0.00023306,             0.00023306
                     26,                0.72949,                0.55428,                0.88276,                0.96244,                0.93819,                0.97978,                0.82584,                0.67501,                0.60334,                 0.9066,             0.00023176,             0.00023176,             0.00023176
                     27,                0.73326,                0.55591,                0.88582,                0.97129,                0.92452,                0.97781,                0.82363,                0.66317,                 0.5819,                0.90121,             0.00023045,             0.00023045,             0.00023045
                     28,                0.73645,                 0.5531,                0.88871,                0.96592,                0.93978,                0.97897,                0.82719,                 0.6628,                 0.6052,                0.90162,             0.00022915,             0.00022915,             0.00022915
                     29,                0.72761,                0.54472,                0.88464,                0.96089,                 0.9396,                0.97955,                0.81253,                0.70774,                0.57743,                0.91089,             0.00022785,             0.00022785,             0.00022785
                     30,                0.71945,                0.53932,                0.88457,                0.96868,                0.94281,                0.97941,                0.81996,                0.69626,                0.59469,                0.91208,             0.00022655,             0.00022655,             0.00022655
                     31,                0.72546,                0.53887,                  0.886,                0.96611,                0.93561,                 0.9814,                0.83011,                0.67577,                0.57369,                0.90457,             0.00022525,             0.00022525,             0.00022525
                     32,                0.71916,                0.53697,                0.88268,                0.97452,                0.93048,                0.98143,                0.83454,                0.65382,                0.57062,                0.90113,             0.00022394,             0.00022394,             0.00022394
                     33,                0.72157,                0.53066,                0.88639,                0.97413,                0.93666,                0.97992,                0.83146,                0.66106,                0.57117,                0.90562,             0.00022264,             0.00022264,             0.00022264
                     34,                0.71734,                0.53016,                0.88655,                0.98086,                0.92594,                0.98182,                 0.8235,                0.68791,                0.54495,                0.90579,             0.00022134,             0.00022134,             0.00022134
                     35,                0.71407,                0.52434,                0.88292,                0.96022,                0.93825,                0.97795,                0.82783,                0.67355,                0.60675,                0.90672,             0.00022004,             0.00022004,             0.00022004
                     36,                0.71426,                0.52361,                0.88169,                0.97013,                0.93684,                0.98173,                0.83263,                0.66859,                0.55991,                0.90392,             0.00021874,             0.00021874,             0.00021874
                     37,                0.70878,                0.51612,                0.88042,                0.96351,                0.93445,                0.98026,                0.83234,                 0.6549,                0.54453,                0.89998,             0.00021744,             0.00021744,             0.00021744
                     38,                 0.7114,                0.51914,                0.88363,                0.96236,                0.94974,                0.98395,                0.83746,                0.66069,                0.54684,                0.90251,             0.00021613,             0.00021613,             0.00021613
                     39,                 0.7081,                0.51789,                0.87889,                0.97392,                0.93523,                 0.9821,                0.83129,                0.65516,                0.54192,                0.90055,             0.00021483,             0.00021483,             0.00021483
                     40,                0.71463,                0.51751,                0.88228,                0.97723,                0.93751,                0.98231,                0.84331,                0.63412,                0.53113,                0.89447,             0.00021353,             0.00021353,             0.00021353
                     41,                0.70686,                0.51146,                0.88369,                0.95989,                0.94649,                0.98064,                 0.8348,                0.66855,                0.56977,                0.90528,             0.00021223,             0.00021223,             0.00021223
                     42,                 0.7028,                0.50813,                 0.8815,                0.97274,                0.94586,                0.98352,                 0.8337,                0.65232,                0.54751,                 0.9013,             0.00021093,             0.00021093,             0.00021093
                     43,                 0.6987,                 0.5026,                0.87758,                0.96821,                0.93627,                0.98068,                0.83153,                 0.6544,                0.54831,                0.90182,             0.00020962,             0.00020962,             0.00020962
                     44,                 0.6983,                0.50515,                 0.8778,                0.97375,                0.94423,                0.98103,                 0.8279,                0.66578,                0.56355,                0.90028,             0.00020832,             0.00020832,             0.00020832
                     45,                0.70548,                0.50576,                0.88578,                0.97459,                0.92933,                 0.9809,                0.82698,                0.66734,                0.54266,                0.90096,             0.00020702,             0.00020702,             0.00020702
                     46,                0.69501,                0.49419,                0.87802,                0.97003,                0.94127,                0.98094,                0.82979,                0.66326,                0.56085,                0.90233,             0.00020572,             0.00020572,             0.00020572
                     47,                0.69548,                0.49835,                0.87813,                0.96625,                0.93775,                0.97957,                0.83131,                0.65612,                0.56416,                 0.9041,             0.00020442,             0.00020442,             0.00020442
                     48,                0.69472,                0.49605,                0.87695,                0.96143,                0.94045,                0.98123,                0.82817,                0.66695,                0.54432,                0.90332,             0.00020311,             0.00020311,             0.00020311
