                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3083,                 3.8809,                 1.1657,                0.40139,                0.49785,                 0.3912,                 0.3078,                0.90652,                 2.1946,                 0.9819,             8.5801e-05,             8.5801e-05,             8.5801e-05
                      2,                0.87197,                 1.1299,                0.95298,                0.86494,                0.77874,                0.88631,                0.73534,                0.75398,                0.99165,                 0.9487,             0.00017261,             0.00017261,             0.00017261
                      3,                0.81555,                0.73628,                0.93478,                0.92572,                0.88055,                 0.9557,                0.80483,                0.70468,                0.78906,                0.94056,             0.00025855,             0.00025855,             0.00025855
                      4,                 0.7913,                0.63271,                0.92137,                0.95331,                0.90116,                0.96622,                0.80806,                0.71435,                 0.6971,                0.94812,             0.00025909,             0.00025909,             0.00025909
                      5,                0.77083,                0.58196,                0.91754,                0.94165,                0.90494,                0.96784,                0.80823,                0.71956,                0.65586,                0.94508,             0.00025909,             0.00025909,             0.00025909
                      6,                0.76808,                0.55795,                0.91631,                0.95744,                0.92897,                0.97409,                0.80898,                0.74174,                0.63405,                0.95635,             0.00025779,             0.00025779,             0.00025779
                      7,                0.74629,                 0.5311,                0.91236,                0.95279,                 0.9267,                0.97573,                0.81367,                0.70089,                0.59292,                 0.9371,             0.00025649,             0.00025649,             0.00025649
                      8,                0.74083,                0.50861,                0.90794,                0.96667,                0.90641,                0.97411,                0.81821,                0.69781,                0.58165,                0.94355,             0.00025519,             0.00025519,             0.00025519
                      9,                 0.7353,                0.49111,                0.90631,                0.96526,                0.92689,                0.97691,                0.83228,                0.66094,                0.54681,                 0.9262,             0.00025389,             0.00025389,             0.00025389
                     10,                 0.7324,                0.47866,                0.90534,                0.96544,                 0.9286,                0.98091,                0.84198,                0.63845,                0.53829,                0.91635,             0.00025259,             0.00025259,             0.00025259
                     11,                0.72403,                 0.4739,                0.90374,                0.97265,                0.92527,                0.98107,                0.83605,                0.65256,                0.52579,                0.92446,             0.00025128,             0.00025128,             0.00025128
                     12,                0.72609,                 0.4737,                0.90671,                0.95294,                0.93378,                0.97617,                0.82549,                0.68661,                0.57737,                0.93684,             0.00024998,             0.00024998,             0.00024998
