                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83838,                 1.0278,                  1.049,                0.98611,                0.97703,                0.99314,                0.85789,                0.58205,                0.28333,                0.93731,               0.003332,               0.003332,               0.003332
                      2,                0.65502,                0.48188,                0.94222,                0.99256,                0.98985,                0.99452,                0.88797,                0.50595,                0.22964,                0.89458,              0.0066434,              0.0066434,              0.0066434
                      3,                0.65061,                0.47303,                0.93924,                0.99291,                0.98913,                0.99445,                0.88949,                0.50751,                0.22697,                0.89557,              0.0099327,              0.0099327,              0.0099327
                      4,                0.62527,                0.44798,                0.93192,                0.99483,                0.99339,                0.99474,                0.90761,                0.46153,                0.19692,                0.87333,               0.009901,               0.009901,               0.009901
                      5,                0.57599,                0.40287,                0.91296,                0.99611,                0.99485,                0.99487,                0.92032,                 0.4326,                0.18006,                0.85914,               0.009901,               0.009901,               0.009901
                      6,                0.54722,                 0.3764,                0.90194,                0.99662,                0.99564,                 0.9949,                0.92808,                0.41184,                0.16971,                0.84982,               0.009868,               0.009868,               0.009868
                      7,                0.52603,                0.36082,                0.89457,                0.99723,                0.99621,                0.99491,                0.93433,                0.39625,                0.16166,                  0.843,               0.009835,               0.009835,               0.009835
                      8,                0.51161,                0.34933,                0.88955,                0.99767,                0.99663,                0.99493,                0.93893,                0.38331,                0.15613,                0.83769,               0.009802,               0.009802,               0.009802
                      9,                  0.499,                0.34045,                0.88506,                0.99743,                0.99696,                0.99493,                0.94278,                0.37249,                0.15188,                0.83335,               0.009769,               0.009769,               0.009769
                     10,                0.48955,                0.33426,                0.88193,                0.99783,                0.99682,                0.99492,                 0.9454,                0.36431,                0.14847,                 0.8302,               0.009736,               0.009736,               0.009736
                     11,                0.47914,                 0.3274,                0.87841,                0.99798,                0.99701,                0.99494,                0.94723,                0.35829,                0.14593,                 0.8279,               0.009703,               0.009703,               0.009703
                     12,                0.47123,                0.32273,                0.87583,                0.99804,                0.99702,                0.99493,                0.94898,                0.35332,                0.14389,                0.82594,                0.00967,                0.00967,                0.00967
                     13,                0.46502,                0.31912,                0.87376,                 0.9979,                0.99722,                0.99493,                0.95023,                0.34931,                0.14241,                0.82441,               0.009637,               0.009637,               0.009637
                     14,                0.45684,                0.31321,                0.87069,                0.99792,                0.99727,                0.99494,                0.95145,                 0.3456,                0.14104,                0.82303,               0.009604,               0.009604,               0.009604
                     15,                0.45154,                0.31096,                0.86932,                0.99798,                0.99733,                0.99494,                0.95245,                0.34234,                 0.1399,                0.82183,               0.009571,               0.009571,               0.009571
                     16,                 0.4459,                0.30675,                0.86725,                 0.9979,                0.99746,                0.99494,                0.95312,                0.33927,                0.13895,                0.82072,               0.009538,               0.009538,               0.009538
                     17,                0.44214,                0.30426,                0.86602,                0.99794,                0.99746,                0.99494,                0.95404,                0.33658,                  0.138,                0.81977,               0.009505,               0.009505,               0.009505
                     18,                0.43828,                0.30232,                0.86511,                0.99793,                0.99753,                0.99494,                0.95484,                0.33378,                0.13703,                0.81881,               0.009472,               0.009472,               0.009472
                     19,                0.43435,                0.30086,                0.86401,                0.99798,                0.99756,                0.99494,                0.95548,                0.33126,                0.13613,                 0.8179,               0.009439,               0.009439,               0.009439
                     20,                0.43057,                 0.2984,                0.86244,                0.99797,                 0.9975,                0.99494,                0.95624,                0.32842,                0.13515,                 0.8169,               0.009406,               0.009406,               0.009406
